language,w_FacebookAI_xlm-roberta-large,w_jhu-clsp_mmBERT-base,w_microsoft_mdeberta-v3-base,t_stereotype,t_vilification,t_dehumanization,t_extreme_language,t_lack_of_empathy,t_invalidation,macro_f1
amh,0.8500000000000001,0.05,0.1,0.49,0.55,0.44,0.45,0.43,0.47000000000000003,0.5772905135002934
ben,0.8500000000000001,0.0,0.15000000000000002,0.3,0.39,0.35000000000000003,0.45,0.26,0.4,0.314634607227038
deu,0.4,0.15000000000000002,0.45,0.35000000000000003,0.19,0.17,0.33,0.23,0.22,0.5106247007523622
fas,0.75,0.05,0.2,0.4,0.46,0.49,0.49,0.51,0.34,0.48575714524055563
hau,1.0,0.0,0.0,0.43,0.23,0.36000000000000004,0.29000000000000004,0.41000000000000003,0.3,0.23470430867561867
hin,0.65,0.15000000000000002,0.2,0.41000000000000003,0.39,0.33,0.49,0.43,0.52,0.7666977415066252
khm,0.55,0.05,0.4,0.62,0.28,0.28,0.36000000000000004,0.46,0.32,0.43710018844926807
nep,0.6000000000000001,0.15000000000000002,0.25,0.48000000000000004,0.43,0.44,0.56,0.4,0.43,0.7144536246074908
ori,0.9,0.0,0.1,0.35000000000000003,0.27,0.66,0.4,0.2,0.4,0.3729851569070504
pan,0.75,0.1,0.15000000000000002,0.41000000000000003,0.43,0.4,0.42000000000000004,0.37,0.36000000000000004,0.5666146582675841
swa,0.2,0.05,0.75,0.5700000000000001,0.55,0.38,0.42000000000000004,0.47000000000000003,0.49,0.5817190137204822
tel,0.55,0.05,0.4,0.32,0.45,0.31,0.41000000000000003,0.5,0.4,0.4255053107482049
tur,0.5,0.0,0.5,0.46,0.42000000000000004,0.37,0.37,0.49,0.4,0.5321407904443324
urd,0.6000000000000001,0.0,0.4,0.21000000000000002,0.24000000000000002,0.2,0.24000000000000002,0.17,0.24000000000000002,0.8093155447887725
