id,text,political_pred,political_gold
fas_003ad23ec46d4bb01c134bc75046693c,برای روزی که آزادانه تو خیابونا با حجاب و بی حجاب ببینیم,0,1
fas_029e9cc12bfaa0edd5cfbb75bf20e450,به مناسبت روز جهانی رفع #خشونت_علیه_زنان خواستار  آزادی فوری مدافعان حقوق زنان و حفاظت از آزادی بیان، تجمع و اعتراض مسالمت‌آمیز هستم.,0,1
fas_11626c46a83f0265a95cb8117e3db5fb,اعتراض یک زن با برهنه شدن علیه حجاب اجباری در سعادت‌آباد تهران,0,1
fas_183be6c56fd2aa3a191508d210f59168,برادر مگه نمیگی رقصیدن؟ آیا رقصیدن حرام نیست؟ بگو نه تا بیام با گونی ببرمت.,0,1
fas_19769532fef4ab98a58fbb721b2ad8b3,ارجاعاتش ناظر به توصیه‌های اخلاقی ایشونه نه تفکرشون در بحث فیلترینگ و حکمرانی مجازی. چون ایشون از مخالفینش بودند.,0,1
fas_19b5a443ec503fb137e908a5cb3fa307,تجمع اعتراضی کارگران پیمانی شرکت بهره‌برداری نفت و گاز گچساران و کادر بهداشت دانشگاه علوم پزشکی کرماشان/کرمانشاه و ادامه‌ی اعتصاب کارگران پالایشگاه بیدبلند بهبهان,0,1
fas_1ab4d4e97929e1a96c4e54587b8e1c2b,شوخی درباره سانسور در آمریکا («به‌زودی با دود علامت می‌دیم»),0,1
fas_1f1edca982f8d2d04b4c48e0efdfe4db,خب بر اساس همین شاخص‌ها، موسسات مختلف میان رتبه‌بندی می‌کنن دموکراتیک بودن سیستم‌ها رو، و بر اساس نتیجه‌ی یکی از اون‌ها اون جدول رو برای شما درست کردم که مقایسه بین جمهوری‌های جهان و پادشاهی‌هاست، اعم از مشروطه و مطلقه.,0,1
fas_203f9bd4a0c9831329c2220a3ea00453,خداروشکر گشت ارشاد مشهد سفت چسبیده که ما رو از سیل و بارون حفظ کنه 👌🏿,0,1
fas_217a84098008b22404e66a53f11947a1,غیرتتون با تن فروشیه دختران و زنان ،بدلیل فقر و نداری در مشهد و کشورهای خلیج فارس تکونتون نمیده؟لطفا شعر نگین,0,1
fas_29e0119bb274cc20673e99f834361e38,بخاطر ترور ناجوانمردانه‌ی شینزو آبه، فعلا سوشی رو کنار گذاشتم,0,1
fas_2a92bd0811cd084f3eb77ca0690e7246,ارسالی شما| تجمع گروهی از ایرانیان هامبورگ در اعتراض به احکام اعدام در ایران,0,1
fas_2c904f00bfddc214694e19cc4c934a4e,آیدا یونسی، دختر میریوسف یونسی و خواهر علی یونسی، زندانیان سیاسی محبوس در اوین، سه شنبه شانزدهم اردیبهشت در ایکس نوشت که مسئولین زندان اوین و ماموران اطلاعات پدرش را هنگام ملاقات کابینی با خشونت از برادر و مادرش جدا کرده و به بند ۷ زندان اوین منتقل کرده اند.,0,1
fas_2cb2843df6360a25d82c8b9ecd92f1ab,"مهدی یراحی بعد از انتشار ترانه ""روسریتو در بیار"" در ششم شهریور ۱۴۰۲ بازداشت و بعد از تقریبا دو ماه در اواخر مهر ماه با تودیع وثیقه پانزده میلیارد تومانی از زندان اوین آزاد شد.",0,1
fas_31171854aaaf091f1f659e42d8593a9f,اصلا مگه آدمای خاصی تو گشت ارشاد کار میکنن؟ همون مامورای نیرو انتظامی نیستن که شیفتی و گردشی بهشون بخوره برن گشت ارشاد؟,0,1
