id,text,extreme_language_pred,extreme_language_gold
fas_0242c5503df84339ad8ae95bffb9b42d,توییتر ثابت کرد ما ایرانیا ظرفیت آزادی بیان نداریم,0,1
fas_0266c8e29b90a95e3341a74f214bc688,فلسفه حجاب پوشوندن زیباییه. اونی که تو حجاب دنبال زیباییه باید رید رو حجابش.,0,1
fas_078c5405c914837d1b10dc821263e55e,این پنج‌تا بازیکن استقلال، دختر ببرن تو اتوبوس تیم ملی دعوتن دیگه؟,0,1
fas_07e99752ee90080e0d4fa4742d4d69c8,تیم مایر، ریاست محمد بن سلیم در fia را «حکومت ترور» خواند. بن سلیم با خنده پاسخ داد: «خودتان به fia بیایید و ببینید.» او هرگونه توهین را رد کرد، از چالش انتخابات استقبال نمود و قول رهبری شفاف و قانون‌مند داد.,0,1
fas_0ca84c45cb80d57a9a105944a2738371,- تماشای بازی‌های ایران تو جام جهانی؟ + نه مرسی! تماشای حرکت پشگل‌ها موقع وزیدن باد!,0,1
fas_14153f9bbcd16fcb96a45691b5042148,والا اتفاقا تو ایران بنظرم در مقابل حقایی که زن نداره مهریه بالا چیز خوبیه واس تهدید و فلان ک البته بازم ب درد نمیخوره:)),0,1
fas_17cf3e6c312b0b057ce40f3b8d771e5a,اگر مردم فکر کنند انتهای حرکت حاکمیت مسی و رجوی و جندگی و هرزگی است هیچوقت با این حرکت همراه نخواهند ش .,0,1
fas_181d587ea76f615c42e59365080bbd1b,نه عزیزم داور اجازه نداد تعویض انجام شه و پرسپولیس ده نفره بودیم سعید آقایی مصدوم شده بود دیگه ، بعد استقلال گل زد!,0,1
fas_1b569053b7c397be0230b0e74cf8d6fd,اما چون مجلس شورای ملی نداریم، (به مجلس شورای اسلامی همه که نمیشه برد، اصلا قانون مشروطه جمهوری اسلامی رو به رسمیت نمی‌شناسه چون اگر بشناسه خودش ملغی میشه) پس نتیجه می‌گیریم یا مرگ رضا سس خرسی و علی‌پاتریک دودمان پهلوی تموم میشه والسلام مگر اینکه یاسمین یه پسر بزاد. لیترالی قانون تخمی مشروطه.,0,1
fas_1b85f76fdf703cd320b91b761ec4af22,آخی ....بعد عمری یه سلبریتی پشت مردم دراومد ...دارید میسوزید نتونستید با دلار و رانت و پارتی راضی نگهش دارید,0,1
fas_1dd61b1a36917bbf1e9eae9ffc9f34db,#چشم_انداز_برای رژیم مهم نیست ، چه کسی رو ترور کنه هر کس مخالف باشه جوابش گلوله س,0,1
fas_20715632e43d700f45cf531b5fad6d75,از بیکاری و زور مادر گرامی هر شب باید بشینم ستایش ببینم  دیگه دیالوگ هاشونم حفظ شدم,0,1
fas_2407ececff14563b2ba9a9451eec3081,منظورش از جهت دزدی، فساد و رانت هست البته,0,1
fas_24c23d34f8218319ede6e51c9c6caa0c,میگه هوادارای استقلال و سپاهان رفتار مسالمت آمیز دارن!!! باید همو میکردن یعنی؟,0,1
fas_2729945cd244e19ae85cab88aeab034b,عجب یابویی حتما پول لازم شده عتبار میخواد سبک زندگی اسلامی پایه گذاری کنه,0,1
fas_2b61a1f5a517622da5578e21503cbb8d,آقا پلیسی که گویا امروز منو تو تجریش جریمه کردی برای استفاده از تلفن همراه، من داشتم از ویز استفاده میکردم عن آقا,0,1
fas_2ce11d01380dc152b242e7a49dde060b,الان یه بیشرفی میاد میگه ما که چن ساله گشت ارشاد ندیدیم😑,0,1
fas_2edfaa095ccebf1487c16f82c8c36317,اصا اینا رو فقط باس از کون اعدام کرد,0,1
fas_2ffab374fb37e303cfe5a7b3c327cc0e,متاسفانه یک خط فکری معتقده بعضی کارها فقط اسمش بده. مثلا اسم سانسور را بذارید صیانت حله. اسم موسیقی را بذارید آلودگی صوتی یا....,0,1
fas_30293e9e912012bc93b2a7584eff5f76,دوستان لطفان تیم_ملی  فوتبال راموردخطاب قراردهید،یابامردم هستند یاعلیه مردم، شرف ف خریدنی نیست.,0,1
fas_31171854aaaf091f1f659e42d8593a9f,اصلا مگه آدمای خاصی تو گشت ارشاد کار میکنن؟ همون مامورای نیرو انتظامی نیستن که شیفتی و گردشی بهشون بخوره برن گشت ارشاد؟,0,1
fas_33012b84f196d8168a3d592fe153f867,رفتم به بابام وکالت بدم، خانومه می‌گه این نقل و انتقال اموال رو هم شامل می‌شه‌ها. بابام می‌گه هیچی نداره نگران نباشید. :)))))))),0,1
fas_33d87f7bcdc8f36e5a888a9ba43cfb81,میشه تا اسفند نرن من این آزمون کوفتی وکالت رو بدم جواب ش بیاد بعد برن؟,0,1
fas_33dae6cfaa64788a1a6f586e577143f7,واقعا همینه امکان نداره دانشجو دارو ۱۵ تومن بگیره مگه ساعتی چند تو کارآموزی بهش میدن؟,0,1
fas_34f430d289b5d8468cb26dc924771a8f,اگر عمدی بوده لطفا شماره کارتشو بذارید برای جمع آوری دیه کمکش کنیم🙂,0,1
fas_36ba573ba69d25919492491650869f37,زود واسه ناامید شدن به همتون قول میدم پرسپولیس این فصل هم قهرمان. درضمن ریدن تو دروازبانی حامد لک.😡,0,1
fas_3720dc5f1a1fccaad97678c0e7bd59d3,از تمام شدن دوران رانت و دزدی ترسیدی!؟ حق داری جانم😂,0,1
fas_38851f0dfb14b945471107f883492466,تیم استقلال دیگه استقلال نیست !  از این به بعد تیم ملیه!!,0,1
