id,text,vilification_pred,vilification_gold
fas_00261d06a21bd2cca3e09734d982c7cf,عب نداره ، عوضش به همه نشون دادیم مسی کاملاً یه بازیکن معمولیه ،‌ امباپه هم بازیکن خودمونه هرکاری کنه اشکال نداره,1,1
fas_003ad23ec46d4bb01c134bc75046693c,برای روزی که آزادانه تو خیابونا با حجاب و بی حجاب ببینیم,1,1
fas_0105bd84fc4c9f0c8281ea19f3dba2aa,واقعا دلیل این همه نفرتتون نسبت به دانشجو های پزشکی ،یوتیوبر ها و واینر ها چیه؟,1,1
fas_0198dbfec4ab6131375838e51c89cc4b,راه حل ترامپ: در کلاس‌ها باید محکم بشن و بشه از داخل قفلشون کرد. 🤬,1,1
fas_01e3fc09bed6c17a46f055fe4e0868d3,درست است  بخصوص با ترور کردن  مردم بی گناه شاهچراغ و گردن داعش انداختن,1,1
fas_0266c8e29b90a95e3341a74f214bc688,فلسفه حجاب پوشوندن زیباییه. اونی که تو حجاب دنبال زیباییه باید رید رو حجابش.,1,1
fas_029e9cc12bfaa0edd5cfbb75bf20e450,به مناسبت روز جهانی رفع #خشونت_علیه_زنان خواستار  آزادی فوری مدافعان حقوق زنان و حفاظت از آزادی بیان، تجمع و اعتراض مسالمت‌آمیز هستم.,1,1
fas_02ea4b257bbae3178daf94378b383dc0,ببین مرشد رو نرفتم ولی رفتاری شاپور رو رفتم راضی نشدم. سینی مسی چیه؟,1,1
fas_03572e9aec67d404abd7e74d565929d3,فیلترینگ اینستاگرام و واتساپ حکم بنزین رو داره! نمیدونم چرا مسئولین متوجه نیستن یا اینکه نفوذیا زیاد شدن://,1,1
fas_03e34da1d2be47533ac8a17b6db1e78d,گشت ارشاد جمع نمی شود بلکه خودتات با هم جمع میشوید‌,1,1
fas_0434605a3779b437de4cb70f952e1b84,نمی خوای از ترور شهدای هسته ای یا خاشقچی چیزی بدونی؟,1,1
fas_0487a1e0402f69e5773f198bb5501fdc,قبول ندارم   کسی ک با چاقو خفت میکنه باید اعدام بشه,1,1
fas_04bc69c6f1702c452bee0d6c660c50bc,حردانی‌ای که تا قبل از استقلال نه گل میزد نه پاس گل میداد، الان تو استقلال هم پاس گل میده هم گل میزنه:))))),1,1
fas_04c900c318c4a1c7dfe0d482ca015d1e,نه خداییش شما بخوایین کسی رو ترور کنین میرین دم خونش زنگ میزنین؟؟ یا میشینید تو ماشین کشیک میدید تا سرو کله‌اش پیدا بشه؟؟,1,1
fas_052c83706fe6324b7a04428ba7bc5caf,از ترسشونه دانشجو هارو یا اخراج کردن یا تعلیق یا ممنوع الورود به دانشگاه 😡,1,1
fas_053671370875075ff65dfe167a641d95,حالا برجام هم بشه قیمتا که پایین نمیاد دلار میاد پایین به این صورت که شما میری ترکیه یه کیلو گوشت میخری برمیگردی ارزونتر در میاد,1,1
