id,text,invalidation_pred,invalidation_gold
fas_0242c5503df84339ad8ae95bffb9b42d,توییتر ثابت کرد ما ایرانیا ظرفیت آزادی بیان نداریم,1,1
fas_04c68f3ec6d5c67419211c2fe69f4a09,واقعیت این است که بیمه تکمیلی، زاییده ناتوانی تامین اجتماعی در عمل به قانون است.,1,1
fas_057211807e4a9bf54368d2ba53aeb921,این حرف رابرت مالی نشان از عمق نادانی و عدم شناختش از  ج اسلامی دارد. خامنه‌ای برجام به چپش هم نیست روسیه اما شیشه حیاتش است!,1,1
fas_0c5f949331c6175d9578dc8a8c5dcae7,پاکستان هم فقط به زبان حمایت میکنه، ایران تمام این سالها به خاطر دشمنی با اسراییل در فشار جنگ و تحریم بود، الان همه کشورهای همسایه اسراییل و کشورهای حوزه خلیج فارس با اسراییل دوستی میکنن و ایران تنها مونده. حتی مراکش هم به قطعنامه شورای حکام رای مثبت داده که نشون میده اینا در حرف مسلمونن فقط.,1,1
fas_0e2e0c26e34d9ec2702c969f7aed58ce,اونوقت ادعای انقلاب دارن برای آزادی بیان  😔,1,1
fas_0e5813902db2f9926466be1b5acd1405,با این وضعیت توقع فرزندآوری از مردم فقط از سوی یک احمق امکان پذیر است,1,1
fas_14153f9bbcd16fcb96a45691b5042148,والا اتفاقا تو ایران بنظرم در مقابل حقایی که زن نداره مهریه بالا چیز خوبیه واس تهدید و فلان ک البته بازم ب درد نمیخوره:)),1,1
fas_239acea320be3811fdc2c70a21fe5978,درباره گشت ارشاد دوگانه کاذب خاتمی_احمدی نژاد راه انداخته اید؟ به خدا عقل هم چیز خوبی است.,1,1
fas_346a544f88b6d6caae6ebfa9a80d2966,یعنی فقط جوری که این مسلمونها از آزادی بیان غربی‌ها برای خفه کردن صدای مخالف‌هاشون تو سوشال مدیا استفاده میکنن برام حیرت‌انگیزه,1,1
fas_3528f41d94dbbcefea6f5048747769b2,آتنی ها واقعاً حق داشتند به بقیه بربر بگویند. قرعه کشی بهتر از وکالت دادن است. کنترلِ شدنِ شهروندان توسطِ یک الیگارشیِ فاسد محصولِ نهادِ وکالت است.  انباشتِ قدرتِ سیاسی محصولِ وکالت است. قرعه کشی فرایندِ دموکراسی را غیرقابلِ کنترل توسطِ یک الیگارشیِ فاسد می کند.,1,1
fas_3811529a997c01fbb606172dc4640cdf,حالا چیکار کنیم‌ به این زنایی که یه اسم‌ از حقوق زنان شنیدن دیگه بهشون نمیشه بگی تو =)))) هاااا بکنی هم جیغ میزنن,1,1
fas_46ecd849865fee80af7165f932efe4d3,از این سیاسی بازیا  گفته خلیج فارس سیاسیه,1,1
fas_472d0ed6f713cf0b43369ecfbfad5ca1,قدرت منطقه ای رو باور کنیم یا مظلوم بودن گشت ارشاد رو؟,1,1
fas_49083bc701843e82e8c03b9efba633bf,مگه محمد رضا شاه با پول بیت المال دانشجو نمیفرستاد فرنگ همونایی نون خوردن نمک دون شکستن .,1,1
fas_4c73955a7e9fdf19da9a2fc3cedc4c62,الان نت همون عرزشیایی هم که میگفتن ما توی ایران آزادی بیان داریم قطع شده یعنی؟:)),1,1
fas_4d004db247b15045da9f3006de46456d,داداش آزادی بیان الان توی آمریکا هم نیست کشکه‌ هر رژیمی حاکم بشه برای بقای نسل خودش مجبوره صدای مخالف هاشو خفه کنه,1,1
fas_519d3c35c940e15a855b5232d2930695,ترامپ درست گفت کل اون ساختار سازمان ملل فقط waste of time and money,1,1
fas_5219951d739ff9f75bc012ed7df8c0f5,بسیجیا دارن گونی میارن واسه عرض ادب خدمت برعن دازان,1,1
fas_5250fe9efaa4e24e8835e60a589a8b58,قاضی محترم هم چشم در چشم من فرمودن، مهریه از بیخ و بن حق شما بانوان نبوده و نیست و ....,1,1
fas_56f406e7f8cb67c998d135613d5af025,با تأسف طلوع نیوز هم گوش و زبان یک گروه تروریستی شده است یک روزی خودش را حامی آزادی بیان می نامید,1,1
fas_58648281771a6cdf08adbca7440d62ce,چند وقت پیش توی اینستا میخوندم که: تا حالا دیدید خانومی رو که بخواد از حق سپور شهرداری یا کارگر ساختمانی شدن حرفی بزنه و حنجرشو جر بده؟ خانمها تنها جاهایی که به نفعشونه دنبال حقوق برابرن. (ارث، دیه، بعضی از منصب های مهم و...)  +من به شخصه این متنو که نوشتم نه تایید میکنم نه رد!!,1,1
fas_59c10376324b3a1486acc26f95babc46,چقدر بی مهر بودن. یکبار برای یکی از اقوام پیش اومد و وکیل گرفتن و احتساب مهریه ی همسرش و حق بچه ها چیزی نموند برا طرف,1,1
fas_5a6cbf2181dc849df8a5dad703bc0c56,تمام تاسیان داشت نشون میداد ملت ۵۷ چقدر ناآگاه و البته نمک نشناس بودن و چپ هرگز نفهمید,1,1
fas_619e5215173ab5bfd67c499927829d42,هنوز میگوید آزادی بیان وجود ندارد ایا در زمان جمهوری (جهالت) کسی میتوانست اینگونه برخلاف جمهوریت دیدگاه داشته باشد,1,1
fas_62580d802c324a5b8c15b71b8e6cf723,پیشنهاد میدم با گونی خوابیدن رو تمرین کنی مزدور بی جیره و مواجب,1,1
fas_6afa500fdff561f5c0c80385cf1f63b7,مام خیر سرمون داریم این قانون رو ولی چی؟ بیشتر حالت تزیینی داره,1,1
fas_6cec5e26bbe6c22525f2a17c4ba8ce3d,میترسم مسئولین اینو بگن : ناراحتی از ایران برو، برو جایی که به دانشجو ها بها میدن !😂,1,1
fas_7133469c12249ced88fcef44fd20c3da,فکر میکنند دادسرای کارکنان دولت آیین دادرسیش جداست اعلام وکالت رو گفت باید قاضی دستور بده,1,1
fas_7252fa0c2651daf7506667e6bb699a55,حتی اصلا بهش نمیاد دانشجو باشه احتمالا از پرستوهای هرزه آخوندی باش.,1,1
fas_75ab1351df3537bd14f345e42cebf19b,وقتی قانون طرف ما نیست، ملامت جمعی تنها ابزاریه که داریم.,1,1
fas_780ea81b15da91cfa90dd967defad03e,دانشجو اگر شخصیت علمی داره چرا با بد دهنی و الفاظ ناپسندانه و هتک حرمت ، هرزگیشو ثابت کنه .,1,1
fas_7d9b8664693fb16878314fdd6d9331b9,با احترام مشروطه هیچ فرقی با ولایت فقیه نداره فقط اونی که اون بالا نشسته آخوند نیست,1,1
fas_81c9a27655411152ba1051f8812c002d,این چرا انقدر داغونه!!!؟ مگه تو دستگاه پادشاه هم شکنجه و اعترافِ اجباری هست؟؟؟ مگه نمیگن تو غرب آزادی بیان هست؟؟؟؟,1,1
fas_8635c42093bbe77e171f7511dfe3c03e,مطمئنم دارن یه ماله‌ای میکشن و میگن اصلا روش از پا درآوردن آخوند همینه. اینا دلیلشون برای عاشق ترامپ بودن هیچ ربطی به آخوند و آزادی بیان و فلان نداشت و نداره.,1,1
fas_8ff1e3daa269ad2eb677b2c54db37b55,پالتوها همه لارج و مثل گونی سیب‌زمینی. پالتوی راسته چه بدی داشت.. چرا به فکر قدکوتاه‌ها نیستن,1,1
fas_925796b7efe734f783ee150bae62d366,نه بزرگ اند نه شجاع و نه کسی ترسیده تو نمیتونی واقعیت را ببینی فعلا ک هر روز چند نفرشون را سگ کش میکنند تو گونی,1,1
