id,text,invalidation_pred,invalidation_gold
fas_0043b4658f95e502f41964fa9e1288ce,اصن چرا باید با این همه اتفاقات هنوز دانشجو داخل محوطه دانشگاه تجمع کنه؟,0,1
fas_1242e53ad0cd15a797bba601fe840fa9,قانونا نمیتونن حکم به محاربه بدن چون فقط به یک نفر خاص حمله کردن البته اگر قوانین رعایت بشه,0,1
fas_12c5610e321ae77f894c19c6cd12b8c3,کیفیت بازی استقلال ملوان در حد دوربینای گوشیایِ الجی دوازده سال پیشِ..,0,1
fas_13eb56cb41a4aa2894a06c7583ff06da,شک نکنید اگر آمریکا مدونست با خروج برجام ماهم لگد میزنی به برجام میایم بیرون هیچ گاه از برجام خارج نمیشد,0,1
fas_14282f27bb8f260fa50ee7dff6c0730e,برعکس گفتی وقتی حرفی از برجام نزد یعنی توافق وقتی از اعتماد حرف میزنه یعنی ی پل نشون بده تا سی و سی پل را نشونت بدم,0,1
fas_16fc1e4d4fe34cf4b01b6150eeb72c6d,این که جام رو هنوز نبرده.اخرین قهرمانی استقلال هم که فتوشاپ نبود.,0,1
fas_1a1d215b3bb6b67417b851bc5085a1bd,رفراندوم برگذار کنه، یا مثلا حجاب رو کلا آزاد کنه، یا هرچیزی که با اصل ج.ا در تضاد باشه. آمریکا و اسرائیل همین الان بازی رو بردن. نتیجه‌ی مذاکره براشون مهم نیست، پس چرا از توش یه برد تمام عیار نسازن؟ یه بردی که اگر ج.ا یا میپذیره و خار و خفیف و اخته میشه، یا باید گورشو گم کنه و بره,0,1
fas_2120d1e0bf6765fea7fc8f6d9d6fd699,واقعا توییتر خیلی جای سمیه به اسم آزادی بیان هر کی خیلی راحت ذات کثیفشو نشون میده,0,1
fas_2a9a2234917c7039e379e5518a875d76,آخه آزادی بیان همیشه و همه جا و برا همه کس خوب نیست.آزادی بیان به چه قیمتی؟ به قیمت این که یه عده بی ریشه ی بی غیرت بیان نه تنها علیه یه رژیم خادم که علیه تاریخ و فرهنگ ایران یاوه گویی کنن ، به هخامنشیان و ساسانیان و نادرشاه توهین کنن ، به مردم توهین کنن ، و در نهایت برای ایدئولوژی شون مردمو ترور کن,0,1
fas_2d1dd1f06bd6849cbfa640b72ac27ad4,متاسفانه گویا  در کار توافق  داره کارشکنی میکنه البته امیدواریم که دروغ باشه,0,1
