id,text,other_pred,other_gold
fas_00261d06a21bd2cca3e09734d982c7cf,عب نداره ، عوضش به همه نشون دادیم مسی کاملاً یه بازیکن معمولیه ،‌ امباپه هم بازیکن خودمونه هرکاری کنه اشکال نداره,1,1
fas_005cecf3599ed45c67414b0cdf2aa65a,تبارک الله واقعا کشور به مهندسی فرهنگی در خصوص سبک زندگی نیاز دارد,1,1
fas_0105bd84fc4c9f0c8281ea19f3dba2aa,واقعا دلیل این همه نفرتتون نسبت به دانشجو های پزشکی ،یوتیوبر ها و واینر ها چیه؟,1,1
fas_02ea4b257bbae3178daf94378b383dc0,ببین مرشد رو نرفتم ولی رفتاری شاپور رو رفتم راضی نشدم. سینی مسی چیه؟,1,1
fas_04bc69c6f1702c452bee0d6c660c50bc,حردانی‌ای که تا قبل از استقلال نه گل میزد نه پاس گل میداد، الان تو استقلال هم پاس گل میده هم گل میزنه:))))),1,1
fas_052c83706fe6324b7a04428ba7bc5caf,از ترسشونه دانشجو هارو یا اخراج کردن یا تعلیق یا ممنوع الورود به دانشگاه 😡,1,1
fas_059ce5331b498d28fc400c1d9933d6c2,منصوريان به زور آوردت استقلال چرا تا ديروز پستاتو پاك نكرده بودي!,1,1
fas_078c5405c914837d1b10dc821263e55e,این پنج‌تا بازیکن استقلال، دختر ببرن تو اتوبوس تیم ملی دعوتن دیگه؟,1,1
fas_0889d0799bbd2b46397c5f07965958d4,دیشب شدیدترین شب فیلترینگ بوده,1,1
fas_08d240b472001864062395b3d46b3b0e,افتخار میکنم که قبل از فیلترینگ طلاق دادم اینستاگرامو.,1,1
fas_08f90ffaaac352dc6ee28d35c4e5c64d,ترور شدند؟ حادثه بوده؟ چرا قطره قطره اطلاعات میدین بزرگوار..؟😅,1,1
fas_0a2d91430ed3b35f1d54508f5f5fd02b,حالا استقلال با پنالتی بالا اومده باشه ..ولی در آبادان پرسپولیس لوله شد ..,1,1
fas_0b9c50b26182585ec6b6a76bbf8c42e1,مصادره کردنش حکم پرتاب سه امتیازی رو داره,1,1
fas_0c232aedd7e050614d57bf44abc5e1ae,نه داش تو شهرستانی نمیفهمی ما ریه هامون فیلترینگ داره,1,1
