id,text,racial/ethnic_pred,racial/ethnic_gold
fas_0242c5503df84339ad8ae95bffb9b42d,توییتر ثابت کرد ما ایرانیا ظرفیت آزادی بیان نداریم,1,1
fas_04b84945642c777f283c1b03d539b238,برخلاف عرزشی و آخوند بی وطن و وطن فروش,1,1
fas_1e99725db51b9900f5baa06fd251ae46,سبک زندگی جماعت ایتالیایی رو کلا برده زیر سوال، بیا بلاکش کنیم.,1,1
fas_2b76ade1c1f846253c8b428883a9a926,هم‌زمان با روز جهانی آزادی مطبوعات، عفو بین‌الملل از ادامه سرکوب هدفمند رسانه‌ها و محدودسازی آزادی بیان توسط طالبان به‌شدت انتقاد کرد.,1,1
fas_49a8af5ca7f9382ae070256a705f4e99,حقشونه وطن فروشا,1,1
fas_62a42a5a399fe3e476511ee2cf0db98d,شعار هایی که لرزه بر اندام فاشیست ها در انداخت بعد از بازی و اینبار در مردم صدای خودشان را به جهان رساندند بالروح بالدم نفديك يا احواز و الأحواز يالعربي جيبلنا كأس الذهبي بیزه قوشولون,1,1
fas_93e87f8c5c018f13d747065ac729dd88,#مهسا_امینی   از خون جوانان وطن لاله وطن لاله دمیده!,1,1
fas_a22af12b8e8b6249587e079b661e341a,چپ گرا ، وطن پرستان و ملی گرایان را فاشیست و نژادپرست می‌خواند  چپ گرا به وقت جنگ ، ناگهان ملی گرا می‌شود و در حالی که هیچ کاری از عهده اش ساخته نیست شعار دفاع از کیان میهن می‌دهد! از نظر چپ گرا زندگی زیر سلطه ی ارتجاع بهتر از زندگی زیر سایه ی پادشاهی مشروطه است! او پادشاهیخواهان را برده می‌خواند!,1,1
fas_ae926f937ced1ce73ab0f4b503f2fcd2,خون میدم از خاک شهیدان وطن وای   ای وای وطن ،وای وطن ،وای وطن,1,1
fas_b82d818f6fbc2cdaac3305e65f9e8835,برای وطن و تن   و تن های خفته برای وطن   #مهسا_امینی,1,1
fas_b98788bd88358e81919cf5db54840af7,فرح‌گرا تا سریال بی‌مجوّز آبان ضدّ خانواده، با همین رویکرد ترکیه‌ای‌تر شدن از ترکیه‌ای‌ها و کلمبیایی‌تر شدن از کلمبیایی‌ها ساخته شده‌اند که در اوّلی ساختارهای سیاسی-فرهنگی-اجتماعی هدف قرار گرفته و در دومی، سبک زندگی اسلامی-ایرانی.  اساساً محبوبیّت میان برخی نوجوانان و جامعه‌پذیر شدن ولو قلیل نجاستی مثل ساسی,1,1
fas_e4bb2841992a3a207f82b189b9724a56,همه جای این کره خاکی مال همه آدم‌هاست. سفید جاکشی که اومده اینجا و خودش با نسل‌کشی ساکن شده گه می‌خوره قانون وضع می‌کنه و قانون ناعادلانه رو همه جای دنیا باید دور زد.,1,1
fas_efc6dee45438e3d969200750d946ac60,برای دویدن در کوچه های خاکی وطن. برای بوی خاک وطن.,1,1
