id,text,other_pred,other_gold
fas_00602a2d1aac35fede9894b96ce012f0,بچه‌مدرسه‌ای که بودم، این کتاب گنده‌های دانشجوها رو می‌دیدم با خودم می‌گفتم اینا رو چه‌جوری میخونن؟؟ دانشجو که شدم فهمیدم اصلا نمیخوننش,0,1
fas_0198dbfec4ab6131375838e51c89cc4b,راه حل ترامپ: در کلاس‌ها باید محکم بشن و بشه از داخل قفلشون کرد. 🤬,0,1
fas_029e9cc12bfaa0edd5cfbb75bf20e450,به مناسبت روز جهانی رفع #خشونت_علیه_زنان خواستار  آزادی فوری مدافعان حقوق زنان و حفاظت از آزادی بیان، تجمع و اعتراض مسالمت‌آمیز هستم.,0,1
fas_04c900c318c4a1c7dfe0d482ca015d1e,نه خداییش شما بخوایین کسی رو ترور کنین میرین دم خونش زنگ میزنین؟؟ یا میشینید تو ماشین کشیک میدید تا سرو کله‌اش پیدا بشه؟؟,0,1
fas_08239292fca3259f94483788e7c856eb,تو علی کریمی نیستی اموالتو مصادره کنن یه استوری بزار بیینیم زنده ایی؟,0,1
fas_08bad5b6877424e6aea6496a14448453,انقد حواست ب چشماش بود ک نگفتی جهرمی امروز تو دانشگاتون گفته فیلترینگ دائمی نیس,0,1
fas_08bec4cc005e43e445486cb10020240f,خوب موقعی ک شما و دوستاتون مسئول بودین کلا این گشت ارشاد و منحل میکردین یه مشت بی ناموس دروغ گو شدن مسئول ریدم تو چپو راستتون,0,1
fas_0d5454fddf85884f3d11b30482830d60,ج.ا داره برای جلب نظر اقلیت طرفدارش هر کون وارونه‌ای میده. از گشت ارشاد تا کشتار سگ‌های پناهگاه.,0,1
fas_0df00af2a9a06acce3290811efd819d0,سخت‌تر از آدمی‌زاد تحمل تک‌گویی‌های دو سویه است. نمی‌‌گم دیالوگ تابحال شکل نگرفته اما معمولا هم نمی‌گیره.,0,1
fas_0e0b94ba7456f98d69365e95ade32853,ای بابا اینم که صدا سیما سانسور کرد,0,1
fas_13f5de492eed6eda77cca92cb19fe84d,هیچ فرقی نداره. مماشات نباید باشه با شعاری که ضدیت داره با منافع ایران و ایرانی. چه پرسپولیس چه استقلال چه هرتیمی.,0,1
fas_1461817f8cf4cbe12d6975576152bdd0,استقلال و آزادی ما در گرو برقراری جمهوری اسلامی است ...,0,1
fas_1773df1aaa830dffbe2d39f951981fd9,تو یه سریال کره ای یه دیالوگ خیلی عجیبی بود که میگفت: «وقتی تو سکوت تلاش میکنی، کسی نمیدونه به چی حمله کنه!» همینقدر عمیق:)),0,1
fas_181d587ea76f615c42e59365080bbd1b,نه عزیزم داور اجازه نداد تعویض انجام شه و پرسپولیس ده نفره بودیم سعید آقایی مصدوم شده بود دیگه ، بعد استقلال گل زد!,0,1
fas_1daed9c8fb0bf94506c764bb22b1675c,سعید جون ایشون اول یه عرزشی اینو یادت باشه یعنی اعتقاداتش به همه چی ارجحیت داره حتی پرسپولیس خودتم خوب میدونی,0,1
fas_1e6f6a5c118072d640e8279d193328ef,احتمال اینکه کثافتی مثل ماسک با هوش مصنوعی تو شبکه اجتماعیش به زبانهای مختلف یک سری بات/کاربر دست راستی و اولتراناسیونالیست ساخته باشه که کل کل و دیالوگ خشونت و نفرت محور ایجاد کنن، از اینکه نکرده باشه خیلی بیشتره. هم به سود شبکه اشه هم به سودش جریان سیاسیش در دنیای واقعی.,0,1
fas_20cba91ea0fc280faaa7fde9c33fd96c,ساروی هستم. صفحه مسیح علی‌نژاد رو دارم. تا حالا نه گشت ارشاد دیدم نه اتفاقاتی مثل ویدئوهای ارسالی به صفحه مسیح علی‌نژاد.,0,1
fas_22c36a5a40e6bc7c118838bb88d19ed7,همون نادانهایی که اولین و بیشترین حمله رو به گشت ارشاد داشتند و آتش بیار معرکه مهسا شدند.,0,1
fas_25a8e310523b0262ddad30e3d83af3fd,یک دیالوگ اکبر عبدی داشت تو اجاره‌نشین‌ها، می‌گفت اونجا اونجور، اونجا اونجور، اینجا هم اینجور. حال من با ایران و آمریکا همونه، اکبر عبدی پکیده.,0,1
fas_2729945cd244e19ae85cab88aeab034b,عجب یابویی حتما پول لازم شده عتبار میخواد سبک زندگی اسلامی پایه گذاری کنه,0,1
fas_29e0119bb274cc20673e99f834361e38,بخاطر ترور ناجوانمردانه‌ی شینزو آبه، فعلا سوشی رو کنار گذاشتم,0,1
fas_2a9a2234917c7039e379e5518a875d76,آخه آزادی بیان همیشه و همه جا و برا همه کس خوب نیست.آزادی بیان به چه قیمتی؟ به قیمت این که یه عده بی ریشه ی بی غیرت بیان نه تنها علیه یه رژیم خادم که علیه تاریخ و فرهنگ ایران یاوه گویی کنن ، به هخامنشیان و ساسانیان و نادرشاه توهین کنن ، به مردم توهین کنن ، و در نهایت برای ایدئولوژی شون مردمو ترور کن,0,1
fas_32a58e9a9973186fc6c6fce00ac4aebe,هرکی رو میبینم مهاجرت کرده یا بلاگر شده یا یوتیوبر یا جفتش /:,0,1
fas_335ee27390b8da91dc3b195f1566686f,کلی سرباز جوون دادیم که یه مشت عراقی بی شرف آرامشو از خانواده ها  نگیره حالا گشت ارشاد داره راه صدام حرومی رو ادامه میده این واقعا تلخه 💔,0,1
fas_33d87f7bcdc8f36e5a888a9ba43cfb81,میشه تا اسفند نرن من این آزمون کوفتی وکالت رو بدم جواب ش بیاد بعد برن؟,0,1
fas_38e99d2490daff1eff88217e22389abc,کوشکی بیشرف امشب در مناظره با پزشکیان میگفت گشت ارشاد چندین ساله نداریم. خیلی بی شرفه این مردک نجس,0,1
fas_3f32fecce1889ef7e35e9a00cbe186f2,خیلی وقت بود این‌قدر دلم این‌طوری مردن رو نخواسته بود  #ترور #شهید #شهادت,0,1
fas_4482d3ca2a6f2ba2ca8112474563fb02,در اینکه متولیان گشت ارشاد احمقن شکی نیست کافیه یه امار بگیرند و میزان نفرت مردم از کاراشون را,0,1
fas_499f341a37bb3df3e8c40f0e3dbe0e20,خانمه داره میگه لیلا گفته طلا گرون شده سه تایی مهریه هامونو بذاریم اجرا !! عجب کثافتایی,0,1
fas_4bc392cd0a649570d3376d7f229aa7df,به دلیل قهرمانی استقلال در نیم فصل سردار آجرلو به قید قرعه به چند داور لیگ برتر کیت استقلال هدیه خواهد داد,0,1
fas_4fadae96839a8b23a031de0f9e364d4e,سازمانی جنایتکارتر از idf داریم؟ دولت‌های مدعی دموکراسی اعتراض به این سازمان جنایتکار رو با یهودی‌ستیزی معادل دونستن و بی‌بی‌سی هم از پخش بدون سانسور اجرای باب ویلن ابراز تاسف کرده.,0,1
