id,text,lack_of_empathy_pred,lack_of_empathy_gold
fas_0043b4658f95e502f41964fa9e1288ce,اصن چرا باید با این همه اتفاقات هنوز دانشجو داخل محوطه دانشگاه تجمع کنه؟,0,1
fas_07b0feb7793e1f4841ae93efae4fe308,کاشکی ی اطلاع رسانی میکردن الان دمای داخل گونی چند هست😉,0,1
fas_09539581342ac9f9e4b674115a6a117d,بی شرفی یعنی، رسانه سعودی چشمش را در برابر اعدام های آل سقوط میبندد و دیگران را محکوم به سرکوب و اعدام میکند. #خبرنگار_وتنفروش,0,1
fas_09af78acc8364735e24f89848c8bd381,بعضیا اینقدر ترسو هستن و اینقدر به این وضعیت عادت کردن که حتی اگه رفراندوم هم برگزار بشه باز رای مخالف نمیدن,0,1
fas_0ba92bb8b365ae0c410ff44e728a0257,سلام فرمانده، ترامپ و تمام دشمنان جمهوری اسلامی ایران مردن,0,1
fas_0ca84c45cb80d57a9a105944a2738371,- تماشای بازی‌های ایران تو جام جهانی؟ + نه مرسی! تماشای حرکت پشگل‌ها موقع وزیدن باد!,0,1
fas_12c5610e321ae77f894c19c6cd12b8c3,کیفیت بازی استقلال ملوان در حد دوربینای گوشیایِ الجی دوازده سال پیشِ..,0,1
fas_1dd61b1a36917bbf1e9eae9ffc9f34db,#چشم_انداز_برای رژیم مهم نیست ، چه کسی رو ترور کنه هر کس مخالف باشه جوابش گلوله س,0,1
fas_25a8e310523b0262ddad30e3d83af3fd,یک دیالوگ اکبر عبدی داشت تو اجاره‌نشین‌ها، می‌گفت اونجا اونجور، اونجا اونجور، اینجا هم اینجور. حال من با ایران و آمریکا همونه، اکبر عبدی پکیده.,0,1
fas_26422c6ec91a1409891b438e5f670352,من از اسلام دیدم ، اعدام ، شلاق ، اجبار و تکرار !,0,1
fas_2a9a2234917c7039e379e5518a875d76,آخه آزادی بیان همیشه و همه جا و برا همه کس خوب نیست.آزادی بیان به چه قیمتی؟ به قیمت این که یه عده بی ریشه ی بی غیرت بیان نه تنها علیه یه رژیم خادم که علیه تاریخ و فرهنگ ایران یاوه گویی کنن ، به هخامنشیان و ساسانیان و نادرشاه توهین کنن ، به مردم توهین کنن ، و در نهایت برای ایدئولوژی شون مردمو ترور کن,0,1
fas_34bc651fca28157526addbae0020bb23,چهار تا بچه لباس استقلال تنشون کردید اونوقت توییت کردین اجتماع استقلالی ها,0,1
fas_3811529a997c01fbb606172dc4640cdf,حالا چیکار کنیم‌ به این زنایی که یه اسم‌ از حقوق زنان شنیدن دیگه بهشون نمیشه بگی تو =)))) هاااا بکنی هم جیغ میزنن,0,1
fas_3b12f5b64403fc8a459dee680799711e,۲۴ آبان، تجریش تهران، لحظاتی قبل: امسال میده کشته سپاه، مرگ بر کل نظام  #اعتصابات_سراسری,0,1
fas_3e485b07c31b4e5573db934c1e5cdef6,نه فقط اون من خیلیا رو دیدم که فمنیست هستن و بیشتر مرد ستیزن تا حامی حقوق زنان!  و کارهایی میکنن که ادم حالش به هم میخوره,0,1
fas_4675799c397918fe327e9e8a5664d60f,از یک شوخی و هم‌جنس است با لجن‌پراکنی‌های امثال علی ربیعی، حسام‌الدین آشنا و پایگاه خبری انتخاب، علیه انتخاب و سلیقه‌ی مردم و ضدّ رسانه‌ی عموم مردم کشور که حتّی به ورزش و سرگرمی جامعه و حریم طرفداری فوتبال و باشگاه استقلال و استقلالی‌ها هم رحم ندارد. پایانی ندارد خطّ تخریب صدا و سیما، از جانب پروژه‌ده‌ها و,0,1
fas_472d0ed6f713cf0b43369ecfbfad5ca1,قدرت منطقه ای رو باور کنیم یا مظلوم بودن گشت ارشاد رو؟,0,1
fas_49083bc701843e82e8c03b9efba633bf,مگه محمد رضا شاه با پول بیت المال دانشجو نمیفرستاد فرنگ همونایی نون خوردن نمک دون شکستن .,0,1
fas_499f341a37bb3df3e8c40f0e3dbe0e20,خانمه داره میگه لیلا گفته طلا گرون شده سه تایی مهریه هامونو بذاریم اجرا !! عجب کثافتایی,0,1
fas_49a8af5ca7f9382ae070256a705f4e99,حقشونه وطن فروشا,0,1
fas_4c2fadddd263d5d27f259da4da561c94,ولی اینکه جرمش اعدام نیس سوزش داره,0,1
fas_50c2027087a9de2659b354423867c95d,استقلال ثابت کرد بی استقلال ترین باشگاه دنیاست برای آزادی ایران,0,1
fas_5250fe9efaa4e24e8835e60a589a8b58,قاضی محترم هم چشم در چشم من فرمودن، مهریه از بیخ و بن حق شما بانوان نبوده و نیست و ....,0,1
fas_52855db90ccbfa7aec795ac8c0227f15,برای اینکه میترسن یا غیرمنطقی برخورد کنی و عجولانه تصمیم بگیری  یا اینکه مهریه رو بذاری اجرا و طلاق هم بگیری,0,1
fas_58208c2c6ef91c33fb04ce7755eda0ec,درباره ی دوتابازیکن استقلال که سربازن وغیرقانونی واسه استقلال بازی میکنن اطلاع رسانی کنیدلطفا,0,1
fas_5a6cbf2181dc849df8a5dad703bc0c56,تمام تاسیان داشت نشون میداد ملت ۵۷ چقدر ناآگاه و البته نمک نشناس بودن و چپ هرگز نفهمید,0,1
fas_5b963a9858e726957224ecf91c33cf38,شرایط استخدام تو گشت ارشاد فک کنم اینجوریه که هرکی درصد حرومزادگیش بیشتر باشه، درجه بالاتری داره.,0,1
fas_60e30a0eff34a4f563a5bca79680d54e,ولی زودتر باید ترامپ و پمپئو ژنرال سنتکام رو بزنیم,0,1
fas_6377b66fe8dc59e370c2c8a94cfd4650,مسخره تر از برجام درتاریخ دنیا نیست حال آدم بهم میخورد ازاسمش,0,1
fas_6a38b37a767bf8b13d5f2e88291cdd42,پسرای دانشجو چالش سختی دارن. قراره برا اولین بار دخترای کلاس بدون افکت ببینن,0,1
fas_6b3085b83634eb2bd415d057f91568c5,برجام طناب پوسیده ای بود که اصلاح طلبان را به قعر چاه فرستا,0,1
fas_6cec5e26bbe6c22525f2a17c4ba8ce3d,میترسم مسئولین اینو بگن : ناراحتی از ایران برو، برو جایی که به دانشجو ها بها میدن !😂,0,1
