id,text,extreme_language_pred,extreme_language_gold
fas_06b9cecf27610f93d651ac5e88abdee9,چه کسی بیشتراز زمامداران اسرائیلی  دراین مذاکرات میتواند اندوهگین باشد؟ ناتوانی از متقاعد کردن آمریکایی ها برای حمله به ایران. ناتوانی از عمل خصمانه علیه ایران به صورت تنهایی. تسهیل شدن حزب‌لله و انصارلله در صورت توافقی جامع به صورت مخفیانه.  بیش از هر زمانی احتمال خراب‌کاری(ترور) وجود‌دارد,1,1
fas_0924998c49e77c7fdf61230e4e390257,مشروطه خودش واژه عربیه پادشاهی پارلمانیه  ، دگ چرا سختش میکنی ، نمونه‌ش انگلیس کثیف,1,1
fas_0df9e4c28c86b958a7a37d911a49fd56,خلیج فارس ، چند بار بگو دهن کثیفت عادت کنه آفرین خلیج فارس,1,1
fas_0e5813902db2f9926466be1b5acd1405,با این وضعیت توقع فرزندآوری از مردم فقط از سوی یک احمق امکان پذیر است,1,1
fas_0f40b5a42528cb437a660d2c6da2a9c4,من دیگه حرفی ندارم.این تفکر باعث نابودی استقلال شده.قبول ضعف ندارن. ولی الان از چادر ملو ضعیفترن. ادامه بدید به این تفکر ایشالا میرید دسته دو,1,1
fas_1221f68b94a906b026a63a676a74d591,دیگه کار ازین حرفها گذشته،شما تو دبستان بچه 8ساله رو کشتید ،میخواید به دانشجو ودیگراقشار رحم کنید,1,1
fas_160426962ea7045c54f16758e8feaeaa,من دیگه تحمل یه شکست دیگه رو ندارم واقعا  فک کن الان به جای دوستش که پسره با یه دختر رفته بود تجریش من آب میشدم قشنگ,1,1
fas_183be6c56fd2aa3a191508d210f59168,برادر مگه نمیگی رقصیدن؟ آیا رقصیدن حرام نیست؟ بگو نه تا بیام با گونی ببرمت.,1,1
fas_1a1d215b3bb6b67417b851bc5085a1bd,رفراندوم برگذار کنه، یا مثلا حجاب رو کلا آزاد کنه، یا هرچیزی که با اصل ج.ا در تضاد باشه. آمریکا و اسرائیل همین الان بازی رو بردن. نتیجه‌ی مذاکره براشون مهم نیست، پس چرا از توش یه برد تمام عیار نسازن؟ یه بردی که اگر ج.ا یا میپذیره و خار و خفیف و اخته میشه، یا باید گورشو گم کنه و بره,1,1
fas_1e6f6a5c118072d640e8279d193328ef,احتمال اینکه کثافتی مثل ماسک با هوش مصنوعی تو شبکه اجتماعیش به زبانهای مختلف یک سری بات/کاربر دست راستی و اولتراناسیونالیست ساخته باشه که کل کل و دیالوگ خشونت و نفرت محور ایجاد کنن، از اینکه نکرده باشه خیلی بیشتره. هم به سود شبکه اشه هم به سودش جریان سیاسیش در دنیای واقعی.,1,1
fas_2120d1e0bf6765fea7fc8f6d9d6fd699,واقعا توییتر خیلی جای سمیه به اسم آزادی بیان هر کی خیلی راحت ذات کثیفشو نشون میده,1,1
fas_217a84098008b22404e66a53f11947a1,غیرتتون با تن فروشیه دختران و زنان ،بدلیل فقر و نداری در مشهد و کشورهای خلیج فارس تکونتون نمیده؟لطفا شعر نگین,1,1
fas_22e1c40c5d7adf7257ccd59c0c512a32,بمیرم. هر روز مردمو ترور می‌کنن. از همه طرف گرفتار شیاطینیم.,1,1
fas_23923709c54c7653490066749f96ae33,حالا اگه بعد این ماجرا قضیه گشت ارشاد نخوابید یاد گرفتن وقتی آتیشی میشه مطالبه‌گری کنن😏,1,1
fas_2653a2edce3fc3f1d2e6e71dbd6e66a9,عوعوی شغالان هم میگذرد و نوبت گونی میرسد روزی,1,1
fas_2a9a2234917c7039e379e5518a875d76,آخه آزادی بیان همیشه و همه جا و برا همه کس خوب نیست.آزادی بیان به چه قیمتی؟ به قیمت این که یه عده بی ریشه ی بی غیرت بیان نه تنها علیه یه رژیم خادم که علیه تاریخ و فرهنگ ایران یاوه گویی کنن ، به هخامنشیان و ساسانیان و نادرشاه توهین کنن ، به مردم توهین کنن ، و در نهایت برای ایدئولوژی شون مردمو ترور کن,1,1
fas_2c405773a33b5f6cf723679131349e95,کسی که مطالبه‌ی حقوق زنان رو احساساتی شدن می‌دونه، به دنبال یک نظام باثبات و پویاست. مضحکه.,1,1
fas_2e6a4c5726ba38370374ad2e2183c867,شما یه نمونه گشت ارشاد به ما نشون بده اگه بود که وضعیت جامعه اینطور نبود  دیگه تقریبا همه لخت هستن,1,1
fas_2fbe43f1751063e0a777959f820eafcf,دیر سین کردن ی سبک زندگی نیست بیشعوری مدرنه,1,1
fas_31b2a939c839c25ab442735458856552,مثل اینکه شما آدم‌بشو نیستید. می توانیم روی پادشاهیِ مشروطه پارس (یا «جمهوری پارس» اگر سلطنت‌طلبان بگذارندتان) برای شما توافق کنیم و راهمان را از هم جدا کنیم. بقیه هم جمهوری فدرال خودشان را درست می کنند در یک کشور جدید با نامی تاریخی مثل مدیا یا حتی نامی جدید.,1,1
fas_32cf7a477357f7301c100b65789e1e3f,کار خود جمهوری ترور ، مادرجنده ها آخراشه ، هرگهیم بخورید از خیابان نمیریم,1,1
fas_3811529a997c01fbb606172dc4640cdf,حالا چیکار کنیم‌ به این زنایی که یه اسم‌ از حقوق زنان شنیدن دیگه بهشون نمیشه بگی تو =)))) هاااا بکنی هم جیغ میزنن,1,1
fas_382a331841015fd528a73a6f5124054e,آنجلینا جولی و صدف بیوتی بیان روبیکا تبلیغ سبک زندگی لاکچری و فساد کنندخوبه؟ چرا فساد اینستا رو چیزی نمی‌گید,1,1
fas_39ab5bbf7feb441497c5a8b9204e9a49,بنظرم از همون لندن تو گونی حمل و مشایعتتون می‌کنند به سمت کشور 😁😂,1,1
fas_39f4aa76792d81e20c260818f5b92292,چند سالتون بود که فهمیدید الآن منو می‌کنن تو گونی می‌برن؟,1,1
fas_3ab6032dc4c012377ebb7ca87e4a06a9,ادامه کارزار «سه‌شنبه‌های نه به اعدام» ایستادگی در برابر ماشین کشتار جمهوری اسلامی,1,1
fas_3d3162a2eb80097a1fe06d44e114b9be,امام گوه خوریش ملس بود..این یکی که حتی جرات نمیکنه اسم رفراندوم ببره,1,1
fas_452258ee50c78c08efb3730fed506765,عجب! شما عرزشیها کلا عقل ندارین نظام انگلیس مشروطه سلطنتیه اما نظام حال حاضر ایران جمهوریه آخوندها دارن اینم موروثی میکنن,1,1
fas_4675799c397918fe327e9e8a5664d60f,از یک شوخی و هم‌جنس است با لجن‌پراکنی‌های امثال علی ربیعی، حسام‌الدین آشنا و پایگاه خبری انتخاب، علیه انتخاب و سلیقه‌ی مردم و ضدّ رسانه‌ی عموم مردم کشور که حتّی به ورزش و سرگرمی جامعه و حریم طرفداری فوتبال و باشگاه استقلال و استقلالی‌ها هم رحم ندارد. پایانی ندارد خطّ تخریب صدا و سیما، از جانب پروژه‌ده‌ها و,1,1
fas_47f93c0b00e75d8b0fbce04fc3f8dec6,كلا همه بايد گشنگى بكشن تا رانت خوارها بازم شكمشون گنده تر بشه,1,1
fas_499f341a37bb3df3e8c40f0e3dbe0e20,خانمه داره میگه لیلا گفته طلا گرون شده سه تایی مهریه هامونو بذاریم اجرا !! عجب کثافتایی,1,1
fas_4b531cbfa7d042525406370057a060fd,خوبه ترامپ رفته و بايدن فروش نفت رو ناديده ميگيره اوضاع اينه وگرنه اگه رئيسي دوران ترامپ بود كشور رو هوا بود😀,1,1
fas_4fadae96839a8b23a031de0f9e364d4e,سازمانی جنایتکارتر از idf داریم؟ دولت‌های مدعی دموکراسی اعتراض به این سازمان جنایتکار رو با یهودی‌ستیزی معادل دونستن و بی‌بی‌سی هم از پخش بدون سانسور اجرای باب ویلن ابراز تاسف کرده.,1,1
fas_5219951d739ff9f75bc012ed7df8c0f5,بسیجیا دارن گونی میارن واسه عرض ادب خدمت برعن دازان,1,1
fas_5385e50e0d0852cdcadbf48411a99539,بهتره دلت پیش وطن نباشه چون همین وطن تا چند هفته دیگه چوب تو حلقت میکنه خائن وطن فروش,1,1
fas_5b1ce9c6b4988cc9ee660da90c5fa111,ببین وقتی میگی نخوندن خودت بخون بند به بند ق.ا مشروطه رو برات فرستادم اما شما امت گرایی ها عقل رو فرستادید مرخصی الی ابد,1,1
fas_5b963a9858e726957224ecf91c33cf38,شرایط استخدام تو گشت ارشاد فک کنم اینجوریه که هرکی درصد حرومزادگیش بیشتر باشه، درجه بالاتری داره.,1,1
