id,text,gender/sexual_pred,gender/sexual_gold
eng_1fbc9794ed2812edc299ecdb71ad975e,The medical field has been coopted by the radical gender ideology,1,1
eng_2089d547da78ffd2535375a305bfdefc,"MAGA white men being, well, MAGA white men",1,1
eng_21be788954d962134e4925b2d34fcbaa,"In the absence of gender ideology, there are still gays and lesbians...",1,1
eng_2b4f93a36ba95cab5d471fa75de0b6d3,"Support the asexuals? Whats next, supporting xenophobia?!",1,1
eng_38fbd6a81fe0bbdcb568a401e642e364,Gender ideology is a pedophile movement,1,1
eng_495311e8b078a2a6f01b5cf2463d6845,"""Gender Ideology"" the existence of trans people. Call it what it is, a call to eliminate trans people entirely.",1,1
eng_55dd2d3e568f38b64fbee9850a08446b,they will lose the war as well. wokegender ideology is the future,1,1
eng_644c17c9a5f57feffc4a08ec8ae88e15,I think he might be waking up to what a voteloser gender ideology is?,1,1
eng_7d5955be61c722f03dc1a34ce4149630,"Will you didnt .bsky.social or youd understand the TRUcuntMP team basically challenged the voting rights of 3,500,000 voters. One butch challenged 32,000 she never met from swing states. But Democrats couldnt do the same kind of campaign so fuck you comment on whites women.",1,1
eng_8002422350717d25bd4e070e5d10aec6,Fight like hell? All you do is support terrorists that are openly homophobic and name calling anyone who disagrees with you while advocating for the destruction of the only Jewish state,1,1
eng_9ebfedb69adbe4ea867a8336d06cf84d,republicans jerking off to cringe ass redwave just sound like theyre talking abt someones period,1,1
eng_cb5a8d3378f78a13c01fad17cf9e3e96,Radical gender ideology is destroying womens sports.,1,1
eng_dd2df5809127d2e1cc87a82660e99d27,They are panicking. The whole gender ideology tower is crumbling and they know it.,1,1
eng_ec358e99f5c45353ab5f9ef790adc605,Heard Kimmel eats Kamala Harris pussy,1,1
eng_ff133b4e178df42cda7150aa6cf2214f,This seems highly partisan election engineering. No one should want to open that Pandoras box. Lets make all gender surgery auto voter registration!,1,1
