id,text,stereotype_pred,stereotype_gold
eng_04bea6a50978cb48467ca34387d008b1,"Kudos to Tribe, who says"" Like David Schulman, I cant help asking myself For this we created a Jewish state?""",0,1
eng_077cf5b26aea6ff551bd0959be4dbeba,"Hamas started it, Hamas could stop it in a sec, its all Hamas fault. Simple enough.",0,1
eng_08ae95d4ae6a749b634c26c9fa35410c,From a descendant of asylum seekers. Go figure,0,1
eng_08c87a824cc5e874ec579e9d1906e7da,All red states are tbh,0,1
eng_110481aac87e0a1448a2b530ae2c2c55,"Soo why dont we have a ""Project 2025"" on the left that we all agree is the playbook? Seems like what the left policies non corporate populism are quite agreeable to most. Call it ""Progress 2026"" or something.",0,1
eng_13d28fc88b7b0e45c306b17497ad813b,"If you were more concerned about crime, you should increase the number of immigrants and asylum seekers. So it isnt about crime.",0,1
eng_1777cb35e8a32c224def12fdc2623efc,Do you think Marsha should find a new country? BlueWave Yes No,0,1
eng_1900027792f64690e0ba3973166bea62,"So the ethnic cleansing is cancelled, then? You gotta be more clear than this.",0,1
eng_195f1eb1c477c7c42a091e3c6eb4d806,Mail in ballots is equal to cheating opportunity,0,1
eng_1cd07453fd40b79a36c28259b16134f3,graha whose home was destroyed by imperialism,0,1
eng_1ec3ca022e0c0f55694d2bd7b2038e5f,Mike pence is a Benedict Arnold,0,1
eng_21be788954d962134e4925b2d34fcbaa,"In the absence of gender ideology, there are still gays and lesbians...",0,1
eng_23e91be74e7bfe0f29e05eed4d70780e,We can arrange your deportation to India,0,1
eng_23e9f7aa08bc3fac81fc320280116d98,"teh shared values in this case are, colonization, ethnic cleansing, massacres, and cultural genocides.",0,1
eng_240b1f94d1abaad7315aec5b95533551,You know where theyre NOT banning books? BLUE STATES. HolocaustRemembranceDay,0,1
eng_24e9fe67e892467671e40459e02a6700,Not voting to fund a purely defensive system like Iron Dome is radical left and not a centerist Democrat position. Not voting for Bidens infrastructure bill is radical left and not a centerist Democrat position.l,0,1
eng_25d7526f9e24bf003dcd11bf06dc521c,There are some clowns around who will tell you that hospitals are a legitimate target and civilian casualties patients medics are collateral damage.,0,1
eng_26cbaa58699e7864ecb9768e9483c649,"Come on, Jen. There is NOTHING that these clowns think is disqualifying, including insurrection.",0,1
eng_298472d2714b389f8f4286a8da443f71,Did any democrats who lost claim election fraud???,0,1
eng_2d17d8404b764ba0c0b27432892a7653,stonewall sjw capitalism in a pile of trash,0,1
eng_32e0580470eb5ce60fccbf2c43163884,I watched Hungarys democracy dissolve into authoritarianism as a member of parliament and I see troubling parallels in Trumpism and its appeal to workers theconversation.comiwatchedhu...,0,1
eng_3949fb4d58f414d1ce0eb7079b7bae69,"Also on Geneva convention violations, theyre neck and neck, but squid game is fictional, so bg wins on collective punishment",0,1
eng_3cfbef02280788874198cca632b3372e,"Its funny how for years everyone believed Putins Russia was an unstoppable juggernaut that could occupy Europe and invade America if it chose to. This myth is much diminished postUkraine invasion and fall of Assads Syria, but not completely dead unfortunately.",0,1
eng_3d656406476fde786a2c9f87921db4b4,Of course any sanctions against Russia must also be sanctions against Belarus,0,1
eng_3d6e3e77ac491ed2f023a49bb0606673,Nuff said CNN bent the knee,0,1
eng_451ae1d9e6e888f5ae27cb7b04de413c,"Pence hit em with the Fox news story too haha..Since Fix isnt ""fake news"" lol",0,1
eng_466675d2cdf20badfc30e55c75177d57,"Human shields, urban combat, those journalists and doctors were Hamas, etc",0,1
eng_48fef3c83b80094d91527aee1b871924,Then stop justifying Israeli war crimes.,0,1
eng_4b91affc7e1a5b3dc10e50fce7016cfb,Surely yet another terrible consequence of illegal immigration.,0,1
eng_4c4b187238e95f8d798a4eba74093c6e,Donald Trump said next Thanksgiving hell pardon all turkeys involved in the insurrection,0,1
eng_518faab650ec584f55fe53d35b00cfd7,"Theyll probably wipe out the fascist battalions before anyway, and the rest of ""denazification"" was always rather fuzzy.",0,1
eng_535ed1db766635878fdbede2e4bf5dde,Friends dont let friends commit war crimes.,0,1
eng_56f16038da78d29040e7bd8d03b71c58,"That ""reporter"" is from FOX News. Hes part of the problem.",0,1
eng_5c89253ec6539ca0be5bf03e6c8ce450,A stolen election may result in us getting nuked.,0,1
eng_5d03cae9627a7ffc672b840d7f7e98e0,Mike Pence is Judas x10,0,1
eng_5f9de48947ea1f02035576631d66b4e6,"If you are thinking maybe something you have been doing is a deep state conspiracy, ask your self if you heard it first at a State Extension service meeting or a 4H demonstration. If either are true, then not deep state, just common sense. foodsafety pasturize milk",0,1
eng_61a2ebac71fe305c34de64f028187e17,The best socialist is a lubricated socialist,0,1
eng_63a864304cbb5d0769991700c94f417e,"Praise for Kamala Harris for doing her job, highlighting the immaturity of the other side.",0,1
