id,text,stereotype_pred,stereotype_gold
eng_01743ae7a61f2d630ee79da8cd2d2a0f,"Palestinian Muslims, Palestinian Christians, No Palestinian should be killed, tortured or be but in prisons. By the apartheid state of Israel.",1,1
eng_04554b2619fc421fca3a311f39c8a642,Radical left activist Obama judge no more Democrats on the court to extreme,1,1
eng_06110f248b7d943fdfe237bfb137d17c,They only look like theyre further left because of how extreme right your party has shifted,1,1
eng_06885388dc820081cb54d0633b2d7bc8,Christian nationalism is intrinsically fascistic,1,1
eng_0917a33dc6701ea02574f13783d7ad33,"If your ""patriotism"" only extends to those who agree with you, its not patriotism its nationalism.",1,1
eng_0a91145ee26fc4466fe79078229e6196,The woke mob has finally come for having a little smoke while you gamble.,1,1
eng_10308dc6a57982d5ced835ac8414feda,Pro Palestine protested Kamala because she was the vice president in an administration that enabled Israeli ethnic cleansing and genocide! Trump was not the president,1,1
eng_1355bd19bff5648f15c0af5945860ce4,If the radical left takes the pole for next weekends Daytona 500!,1,1
eng_1502b2534ea8152b043e6f285afb9182,ha ha corporate narrative peddlers are the enemy of the people,1,1
eng_163ce99477bb7c3360bed270b8a993d9,"Jimmy Carter, I believe, is probably the only President of the United States who never knowingly or intentionally lied to the American people. America loves liars. We love to be lied to. Our entire national identity is built on a foundation of outright lies maliciously whitewashed history.",1,1
eng_16d947e688dc4373b262c9312a4e2a51,"Its not ""the antigenocide wing"". There isnt a genocide except via twisting that term. Use of it reflects preexisting ideological commitment hatred of Jewish selfdetermination. Amnesty said in 2022 Israel shouldnt be a Jewish state. This is just a rhetorical escalation of propaganda",1,1
eng_1a22bf6feacaa504ba151f6466c80a3c,Happy insurrection day! The day where a bunch of idiots followed their cult leader Into attempting a coup. jan6 trump embarrasing election,1,1
eng_1da4aec22865e58088ead79843f559cf,They think that the Right is going to smite their human shields and forget about them in the process,1,1
eng_1f0c6e128f4771c44fa9292ae3c094d7,"After stealing credit for the hostage release that Carter brokered, Reagans FIRST EO, was to remove the solar panels and doom the US to fossil fuel dependency and all the war death and violence because of it. Republicans are vile sociopaths. PERIOD. Capitalism is destroying US.",1,1
eng_2089d547da78ffd2535375a305bfdefc,"MAGA white men being, well, MAGA white men",1,1
eng_20fc527d9dc4c6c7b0a18721cf8d8a83,USA taking in 100k refugees like we not a country full of poor refugees,1,1
eng_21603c0a8de89770153b21024db14f82,"Agreed. If blue states seceded, wed be rid of them.",1,1
eng_2303709352b81ad43bf974010b0856ba,Never cave to the WOKE mob!,1,1
eng_245573d57e3e5ffffd2349229a6db47c,A lot of lying by the radical left.,1,1
eng_2892d69934443a0823e9d19eb7661987,"I truly hate these people, anyone supporting this government is now supporting the Russian aggression by default",1,1
eng_2aec71e47c52306bfddaf3f450f13b63,So CNN is now an extreme right wing misinformation organization CNNIsTheNewFox under ChrisLicht GOPSeditiousTraitors,1,1
eng_2d99d27a042091f9c0c615ae22bef1b2,Why are we talking about this four years after the insurrection? Why didnt we do something about it during the four years Trump MAGA were not in power? Why dont we ever do anything about gun control in between school shootings? Am I the only one who sees this?,1,1
eng_33f659122469ca92b31b4c01fd70fcd1,How did the Christian faith go from being pretty socialist I think to bring fascist.,1,1
eng_3574e5173ddfced292428337d2484af3,The GOP intended this to happen.,1,1
eng_35d1b3d76f680c08ddf3263db516bf0d,It is wild that they all bellowed about a deep state conspiracy to investigate them as political enemies and then within a month theyre using the apparatus of the executive branch to investigate their political enemies. Every accusation really is a confession with these folks.,1,1
eng_38fbd6a81fe0bbdcb568a401e642e364,Gender ideology is a pedophile movement,1,1
eng_38fe24396ed866fbfefc46d36886fc6b,So youre a socialist? Good to know. Its never worked. Move somewhere else to try it.,1,1
eng_3cde562d4c1661891c07342047c8e923,"Because its about being racistanti immigration or ""tax savings"" or a little bit of both.",1,1
eng_425bc5c624b2e16a825c2ef4e264a03c,Leftist are anti imperialism and anticolonialism and thats what Israel is its a colonial settler apartheid state,1,1
eng_47e827da8cb57104aa95580b53731fbc,"Why are marxists surprised that anarchists are against statism? Literally ""why are anarchists like this?"" Can be answered with theyre anarchists. Theyre against the state even state socialism.",1,1
eng_495311e8b078a2a6f01b5cf2463d6845,"""Gender Ideology"" the existence of trans people. Call it what it is, a call to eliminate trans people entirely.",1,1
eng_497ea7dcdc8ba6e55a61f40fb9079e38,zionism is FASCISM. say things right. also if they are inconvenient,1,1
eng_4d67671ed1ad047bb288b634cbcee1ec,The woke mob of Twitter died suddenly today,1,1
eng_4d9eb595be46d2c3b7e32a9927796919,Bye bye demonizing Democrats REDWAVE COMING,1,1
eng_4ff956f8b0a455e6b282b8a08f5d6858,how truly and utterly deranged the radical left is.,1,1
eng_50fab97292034dc9b410e61f065d63d7,No one is watching their propaganda propaganda,1,1
eng_55dd2d3e568f38b64fbee9850a08446b,they will lose the war as well. wokegender ideology is the future,1,1
eng_5c016f8342c6e7302c8057c894bcfd6f,I fixed a paragraph Open borders and a single undocumented billionaire immigrant are destroying America.,1,1
eng_61c1a9aa2a1879fd460cd8b0410d6625,Extreme examples for extreme right wingers who need extreme education.,1,1
eng_6392118a28667ecfa4108625206f9b27,These Foreigners are Ass Kissers because they Scared of Deportation,1,1
eng_645f8782e81c2bc9510310a614c5161a,"Why? GOP and ""independents"" voted for this.",1,1
eng_64672145aa8753cde8d190eac51ef9ea,Rigged Election noun When MAGAMORONS lose. see also MAGAmeltdown,1,1
eng_674cda804599d93c54b68eafb92d3d76,Rothschilds zionism is the harlot.,1,1
eng_6ba12b6d7cd49f00a201cb2c2b1ffbc0,"""relied"" should be ""replied"" but the intelligent radical left already knew that",1,1
eng_6c4e49e93bf6e6a2929ac439a43f95b4,In the antivaccinewoke mobcancel culture team...,1,1
eng_723b00f5c85ed853c7668e4df7f71f5e,"Red states utilise the most federal funding for schools. And the lowest performing school districts. Yet they blame blue states for such supposed ""handouts"".",1,1
eng_7401055ead5f0f6d5ebbd4791a18c0cf,Why are you Zionism splaining to Jews?,1,1
eng_761e7382077e7c01588e599d1f41331b,GOP Grand Old Party GOP Geriatric Oligarchy Party Am I wrong?,1,1
eng_7c6380f4c695673607a82fc85a9cc6d2,Its America. Every downscale white guy thinks tomorrow they will be the next Elon Musk. Populism is entertaining that mass delusion by hurting the people blamed for its failure.,1,1
eng_7d5955be61c722f03dc1a34ce4149630,"Will you didnt .bsky.social or youd understand the TRUcuntMP team basically challenged the voting rights of 3,500,000 voters. One butch challenged 32,000 she never met from swing states. But Democrats couldnt do the same kind of campaign so fuck you comment on whites women.",1,1
eng_7dff28b19619a734129628041e5ce072,Youre going to lose a lot of business if you cave to the woke mob.,1,1
eng_7e4ae4f2de20154e805b27fc28582dc0,Kamala Harris is a disgrace to all Indians.,1,1
