id,text,dehumanization_pred,dehumanization_gold
eng_01743ae7a61f2d630ee79da8cd2d2a0f,"Palestinian Muslims, Palestinian Christians, No Palestinian should be killed, tortured or be but in prisons. By the apartheid state of Israel.",1,1
eng_04554b2619fc421fca3a311f39c8a642,Radical left activist Obama judge no more Democrats on the court to extreme,1,1
eng_0563bec36b7e55eec87074991543adb1,"Iran and Hezbollah are targeting military targets in line with the rules of engagement, ironically enough its Israel using human shields to protect their military targets.",1,1
eng_06347e2e2f897b8818270eb9bb6d470a,mike pence is not a real person,1,1
eng_089a92875dae775b3a150bdf28bacec7,Zionism ZionismIsTerrorism IsraelTerrorism IsraelKillsBabies IsraelIsCommitingGenocide FreeGaza FreePalestine ZionismIsRacist ZionistsAreBigots,1,1
eng_163ce99477bb7c3360bed270b8a993d9,"Jimmy Carter, I believe, is probably the only President of the United States who never knowingly or intentionally lied to the American people. America loves liars. We love to be lied to. Our entire national identity is built on a foundation of outright lies maliciously whitewashed history.",1,1
eng_16d947e688dc4373b262c9312a4e2a51,"Its not ""the antigenocide wing"". There isnt a genocide except via twisting that term. Use of it reflects preexisting ideological commitment hatred of Jewish selfdetermination. Amnesty said in 2022 Israel shouldnt be a Jewish state. This is just a rhetorical escalation of propaganda",1,1
eng_18588a9f2a9775ac5ddc11ae2d886fc5,"Zionism does not speak for all jews. ZionismIsrael is the cancer, not Judaism as a whole.",1,1
eng_1a22bf6feacaa504ba151f6466c80a3c,Happy insurrection day! The day where a bunch of idiots followed their cult leader Into attempting a coup. jan6 trump embarrasing election,1,1
eng_1f0c6e128f4771c44fa9292ae3c094d7,"After stealing credit for the hostage release that Carter brokered, Reagans FIRST EO, was to remove the solar panels and doom the US to fossil fuel dependency and all the war death and violence because of it. Republicans are vile sociopaths. PERIOD. Capitalism is destroying US.",1,1
eng_2089d547da78ffd2535375a305bfdefc,"MAGA white men being, well, MAGA white men",1,1
eng_20fc527d9dc4c6c7b0a18721cf8d8a83,USA taking in 100k refugees like we not a country full of poor refugees,1,1
eng_215567b15a128e428d09b77a4e7e1070,Zionism Apartheid and illegal settlements and genocide. AntiZionism Humanity and truth. FUCK ZIONISM. ITS RUINING AMERICA.,1,1
eng_2303709352b81ad43bf974010b0856ba,Never cave to the WOKE mob!,1,1
eng_23e9f7aa08bc3fac81fc320280116d98,"teh shared values in this case are, colonization, ethnic cleansing, massacres, and cultural genocides.",1,1
eng_24265395eb22119e655e553ebac28802,"Stop with the xenophobia, a hole",1,1
eng_245573d57e3e5ffffd2349229a6db47c,A lot of lying by the radical left.,1,1
eng_2892d69934443a0823e9d19eb7661987,"I truly hate these people, anyone supporting this government is now supporting the Russian aggression by default",1,1
eng_28d321f0cf8a5596b2a96266932b55e7,NO PUTIN NO RUSSIA ASSASSIN PUTIN ASS HOLE PUTIN,1,1
eng_2d17d8404b764ba0c0b27432892a7653,stonewall sjw capitalism in a pile of trash,1,1
eng_2d99d27a042091f9c0c615ae22bef1b2,Why are we talking about this four years after the insurrection? Why didnt we do something about it during the four years Trump MAGA were not in power? Why dont we ever do anything about gun control in between school shootings? Am I the only one who sees this?,1,1
eng_2ff616aa2df9018435397492ec2ebff5,Kolakowskis believed his ConservativeLiberalSocialist International could never exist. Perhaps the formation of the BigotIdiotThief Axis will create it.,1,1
eng_312ea483f14caf47be8be7edf5fc4f09,Utterly disgraceful to have this kangaroo court keep the prime minister of the only Jewish state from commemorating the holocaust. This is a stain on the ICC which has been infiltrated by and politicized by partisans.,1,1
eng_344b089cbfc771ee685d596fde02dfb1,"Yes, this is what happens when you start a war, civilian casualties. That happens in every war, not just the ones the Jews are involved in. Complain to Hamas.",1,1
eng_38fbd6a81fe0bbdcb568a401e642e364,Gender ideology is a pedophile movement,1,1
eng_425bc5c624b2e16a825c2ef4e264a03c,Leftist are anti imperialism and anticolonialism and thats what Israel is its a colonial settler apartheid state,1,1
eng_48fef3c83b80094d91527aee1b871924,Then stop justifying Israeli war crimes.,1,1
eng_4920abab255bfa8a111998e9d71d08fa,"Your captions attached to the parties are totally opposite of the truth. Everytime anyone opposite of your party spoke out, they were silenced. So how does it feel you socialist!",1,1
eng_4d67671ed1ad047bb288b634cbcee1ec,The woke mob of Twitter died suddenly today,1,1
eng_4ff956f8b0a455e6b282b8a08f5d6858,how truly and utterly deranged the radical left is.,1,1
eng_50d762724c09069184bb07b66b200063,What a rotten traitor she became!!,1,1
eng_5b66f8de7242b3e59df3d1259f55ac15,"Libs think Kemi is ""Bad Enoch"" because of her open borders experiment gone wild. They like Good Enoch Sir Keir",1,1
eng_609b651879327ceabbdcc2cc29ef6ee5,NATO expansion in Europe is bad. Russian expansion into Syria and Africa is good. Russian logic for the conditioned slaves.,1,1
eng_619be160ebafa048b051c064f58ab95a,May his deportation be swift and merciless,1,1
eng_61c1a9aa2a1879fd460cd8b0410d6625,Extreme examples for extreme right wingers who need extreme education.,1,1
eng_61cb25cd5f0336fd5e74249e5b4bbe81,Crying Hamas while murdering children doesnt make them less murdered. Yes Hamas did terror. And what did Israel do? Murder tens of thousands. You saying Hamas Hamas Hamas does not change the fact that Israel been murdering Palestinians for 70 years,1,1
eng_6392118a28667ecfa4108625206f9b27,These Foreigners are Ass Kissers because they Scared of Deportation,1,1
eng_68a23921f5bf1efbcb17a1e8b4c3e727,Drop the Jewish state shit it only allows antisemitic to propagate by attaching Israels crimes to Jewish people as a whole,1,1
eng_6ab2e8a6c38d2e0012c3c0a12eddc0de,Yes. The Iranian theocracys use of its Gazan subjects as human shieldsdisposable martyrs amounts to actual genocide its aggression against Israel was attempted genocide. I hope they hang for this.,1,1
eng_723b00f5c85ed853c7668e4df7f71f5e,"Red states utilise the most federal funding for schools. And the lowest performing school districts. Yet they blame blue states for such supposed ""handouts"".",1,1
eng_735390f1e0263827c94478792961e771,"Not only genocide denial, but genocide justification. Get in the bin",1,1
eng_7401055ead5f0f6d5ebbd4791a18c0cf,Why are you Zionism splaining to Jews?,1,1
eng_7493a50e63bf06e299d0d8218efd5d3f,Not we only the woke mob.,1,1
eng_7c6380f4c695673607a82fc85a9cc6d2,Its America. Every downscale white guy thinks tomorrow they will be the next Elon Musk. Populism is entertaining that mass delusion by hurting the people blamed for its failure.,1,1
eng_7d5955be61c722f03dc1a34ce4149630,"Will you didnt .bsky.social or youd understand the TRUcuntMP team basically challenged the voting rights of 3,500,000 voters. One butch challenged 32,000 she never met from swing states. But Democrats couldnt do the same kind of campaign so fuck you comment on whites women.",1,1
eng_7efbbc846aab1b5d5aba2468499185c2,"The United States should have stepped in and stopped Israel from bombing Gaza almost immediately. It was clear within about a month that Israel was moving far beyond ""defense"" and toward a vengeful collective punishment. By March, it was clear they were engaged in ethnic cleansing.",1,1
