id,text,other_pred,other_gold
eng_0563bec36b7e55eec87074991543adb1,"Iran and Hezbollah are targeting military targets in line with the rules of engagement, ironically enough its Israel using human shields to protect their military targets.",0,1
eng_09762e07b2cdc3978cf4a4898d90be7c,My Reb conspiracy theory is that they are being Ratatouilled by a possum,0,1
eng_0d88db5f14b4997f80f3631539879ba6,Ukraine keep commiting war crimes ?,0,1
eng_11d000eeea8678e129558a6583ca9926,Despite POTUS45 war crimes during CivilRights2020,0,1
eng_20fc527d9dc4c6c7b0a18721cf8d8a83,USA taking in 100k refugees like we not a country full of poor refugees,0,1
eng_2b750c133fd9f61f4b5e401d9da21501,"it literally does mean they are solely responsible. they are doing collective punishment, which is a war crime",0,1
eng_2f8a79afc0d5c5531a9860e6915f145b,Remind me which oligarch now owns CNN?,0,1
eng_3b299ad4036e414868c7d324125add10,Open borders and fentanyl for everyone!!,0,1
eng_41f86e299ff7c964ff63a517bd0327a0,Defund the police and use the money to help the community. DefundThePolice,0,1
eng_451ae1d9e6e888f5ae27cb7b04de413c,"Pence hit em with the Fox news story too haha..Since Fix isnt ""fake news"" lol",0,1
eng_47bd827528d0a6de0a0451b16447f059,they dont teach history at the moskva institute of trolling and populism?,0,1
eng_50fab97292034dc9b410e61f065d63d7,No one is watching their propaganda propaganda,0,1
eng_5ca18e380ee097a8220ae047c31d7121,And also was a failure on day 1 in office regarding israel. Read history. Propping up an apartheid state didnt start on Oct 7,0,1
eng_6156c2781e9f630e37f60e86444d76ad,When do they order all Palestinians to leave Gaza and the West Bank?,0,1
eng_6eab06e5263d42b5ff118e6e3dbd0276,"This. Vile. Genocide. Must. Stop. Middle East crisis live one child killed every hour in Gaza, UN says",0,1
eng_735390f1e0263827c94478792961e771,"Not only genocide denial, but genocide justification. Get in the bin",0,1
eng_774916d6ea0989a1fa5562166f908c44,Land grab and war crimes. Deja Vu,0,1
eng_7d134f24da3a8087a8eacbc19426b836,The real reason for the second amendment is to discourage the rich and powerful from oppressing the poor and powerless.,0,1
eng_7d9a5c0c5318fc3103f1da0799701cfa,I am here to spread Elezen propaganda,0,1
eng_8002422350717d25bd4e070e5d10aec6,Fight like hell? All you do is support terrorists that are openly homophobic and name calling anyone who disagrees with you while advocating for the destruction of the only Jewish state,0,1
eng_863a679b501ff1cf627a06bf5c4c9a75,Kamala Harris lost cause she retarded asf.,0,1
eng_8fa3a7604bbb00650bba7ed0e6b79617,i remember someone mocked me for sjw monstergirl propaganda but hey sjw monstergirl propaganda,0,1
eng_9b3c2450b36cad4730d7a8343ec39f61,What a great way increase genuine anti Semitism everywhere while drowning it out with their nationalism,0,1
eng_a019d98aed7162ab23e1568b8677f983,"Letter is fake news, crosses a linePark Record",0,1
eng_a4ebcb68f75974e5172190e2ba6ef119,"Conspiracy theory Dr. Billiam Feathersworth is not actually a duck, but a poorly disguised lizard person. p4a2025",0,1
eng_ac2c3ccf40970c9bc3edf8ec82fbaed0,the woke mob will cancel me but i do not like barry keoghan for joker at all,0,1
eng_ad056293de1df7b8d6bb94f9dc5d8a68,"NBC News thinks Latino Asylum seekers are ""trash.""",0,1
eng_af8838c34671876e00cbb4cf4a0c0f29,Kamala Harris is the GAGOP Lt.,0,1
eng_afc99fe20d81fbdd4f7605e8ed4cdc64,maybe he shouldnt have done war crimes,0,1
eng_b823b841e69a7446e186721cba476630,"Just in time for the junior Olympics games called Gymnasiade Human shields in Jinjiang, Fujisn",0,1
eng_bf016a05ff68a57c3a73a46a009d8259,Is the EmergencyMeasuresAct crowd also the DefundThePolice crowd?,0,1
eng_bf6f1118475a18a32dac69e291de9053,The TrumpPutin propaganda machine is very effective.,0,1
eng_c53569ec2095bcda77f6e2f67d1078c1,His cult have no idea and are still getting news from Fox News,0,1
eng_cd30098709e19bae95d16d8fdeb97030,Who the fuck is kamala harris,0,1
eng_cde29b5c94a105668e3ee750125259aa,Fuck people who oppose the Second Amendment,0,1
eng_d2f5efb755545af05c2326c67836df17,Q will go extinct because of Kamala Harris.,0,1
eng_d79e61dd8370046c5bcf8bcd52096274,The woke mob has decided to make Batman 3 hours long,0,1
eng_dbc4491533953a69ea6220a77596b603,"F CNN, and F this guy specifically",0,1
eng_e12c77e5dbfa8c2ff7b74d81cb52a622,"Yup. Travel is the cure for xenophobia and racism, while education is the cure for fascism.",0,1
eng_e53d424c16297505159c4ea783d41229,i forgot Trump doesnt care for Fox News. bye Fox News.,0,1
eng_e95223c917821c440b47500c0dee982b,FCK CNN. I cant watch anymore!,0,1
