id,text,political_pred,political_gold
eng_03a6df98f298c70e0e2c466ff5850e5c,"Ending 2024 with an illadvised text conversation with my brother that ended with ""Really little bro? I can deal with the atheism, but socialism?""",0,1
eng_04bea6a50978cb48467ca34387d008b1,"Kudos to Tribe, who says"" Like David Schulman, I cant help asking myself For this we created a Jewish state?""",0,1
eng_08ae95d4ae6a749b634c26c9fa35410c,From a descendant of asylum seekers. Go figure,0,1
eng_08c87a824cc5e874ec579e9d1906e7da,All red states are tbh,0,1
eng_091e4b2c0947bd7961d807ac94a0e099,Peace means ending the ethnic cleansing of Palestine and implement UN242.,0,1
eng_13d28fc88b7b0e45c306b17497ad813b,"If you were more concerned about crime, you should increase the number of immigrants and asylum seekers. So it isnt about crime.",0,1
eng_173caad67954a2cf69fdec9f6166d757,Next conspiracy theory at 50 followers,0,1
eng_1777cb35e8a32c224def12fdc2623efc,Do you think Marsha should find a new country? BlueWave Yes No,0,1
eng_1cd07453fd40b79a36c28259b16134f3,graha whose home was destroyed by imperialism,0,1
eng_239cc28dbb1669ba68b3ca437dd0855d,Does that include a cushion for election fraud?,0,1
eng_240b1f94d1abaad7315aec5b95533551,You know where theyre NOT banning books? BLUE STATES. HolocaustRemembranceDay,0,1
eng_28cd0923ef8c0eeac63562f8bc9b765b,"Timely reminder, trump with held military aid to Ukraine in the hope of getting info on Hunter Biden",0,1
eng_298472d2714b389f8f4286a8da443f71,Did any democrats who lost claim election fraud???,0,1
eng_2b750c133fd9f61f4b5e401d9da21501,"it literally does mean they are solely responsible. they are doing collective punishment, which is a war crime",0,1
eng_32571bb05bc27125646a9b05390dcd26,Watch New York police removed a banner dropped by proPalestine activists in Rossevelt Field mall in protest of the Israeli genocide in Gaza.,0,1
eng_3949fb4d58f414d1ce0eb7079b7bae69,"Also on Geneva convention violations, theyre neck and neck, but squid game is fictional, so bg wins on collective punishment",0,1
eng_3b82245d3aef7fa2003ed4b985eb2b7a,Its what known as voter fraud.,0,1
eng_3cfbef02280788874198cca632b3372e,"Its funny how for years everyone believed Putins Russia was an unstoppable juggernaut that could occupy Europe and invade America if it chose to. This myth is much diminished postUkraine invasion and fall of Assads Syria, but not completely dead unfortunately.",0,1
eng_3d656406476fde786a2c9f87921db4b4,Of course any sanctions against Russia must also be sanctions against Belarus,0,1
eng_41511492da36dad90b2f765f1dfde708,The War of Russian Aggression,0,1
eng_4db4fb1c858b4af17806746279384100,The EXTREME RIGHT OF ARGENTINA ArgentinaSupportsDjokovic.,0,1
eng_571d292b888200f712e44b4fe1c2b7dd,You have no arguement. Judaism is not Zionism. Do some reading.,0,1
eng_59d79dfd6c20cecbb7244d5bfeac7213,Putin Trump Musk would fade away once Putin toast,0,1
eng_5c25198be353dcf2810131277f921f99,genocide against the Tutsi Not rwanda genocide,0,1
eng_5dabafc169afb70c4f5d012aa30d7783,"Sanitizing aggression, war, and war crimes.",0,1
eng_6124ec379a87befde7cec8a8098cb505,Reminder the US and Israeli delegations are the only two who continue to vote against hostage release at the UN.,0,1
eng_6156c2781e9f630e37f60e86444d76ad,When do they order all Palestinians to leave Gaza and the West Bank?,0,1
eng_6d2f1e0056038d05d9a35b65f0588a33,Kamala Harris has the easiest job ever,0,1
eng_70a77c7615e222af1f4f3c28e87a105f,"Check again dummy, its in blue states",0,1
eng_70e9dbe276189afce65f09d591a53ecb,"Wasnt he a Christian Pastor? So yes, of course, he would hold conservative values. Duh",0,1
eng_746675311dad2c85bf91e921df3819c1,Its still Free Palestine btw,0,1
eng_777d055fe233442762d03f27c5a363ed,"Réseaux sociaux plus un parti est à droite, plus il diffuse des fake news",0,1
eng_7d07fc68b3351d6e9ab50dae3372aad8,Yall need to start accounting for voter fraud.,0,1
eng_8397e56f251bdd67bc695861c3742123,Zionism is the heart of Judaism.,0,1
eng_8c26a6ce9669ceb44529e558b3101487,"Asylum seekers are NOT ""undocumented Pass it on. Asylum seekers are NOT ""undocumented Pass it on.",0,1
eng_8cca4776f812cbdf23e968e6078bcf07,Kamala Harris girlfriend of P Diddy,0,1
eng_8d063f4c60a811ab4501aa84988f9ee6,Yes that is the fear. Thats why a one state solution is rejected by Israelis. That and the identity of Israel as a Jewish state.,0,1
eng_8d26105337145bce281d1c5c10f53e78,Which xenophobia are you marching Against?,0,1
eng_8ee79e86ad3612b2b550977309253f40,The US presidentelects closest foreign policy aides told European officials he plans to continue supplying military aid to Ukraine Good news if you can believe it Aides talking w authority or just the usual BS? Can Trump hold a thought longer than a news cycle? @URL,0,1
eng_90880184cdbdad768abd38a2e0be59ce,It doesnt. There can be a two state solution. Hamas doesnt want there to ever be a Jewish state they recognize,0,1
eng_945530ee3f3cc16f02793c364f80811a,Supporting gun control is pro life.,0,1
eng_950c179c89e918ea12659daa6dd0e93e,"Biden impeachment. If not, then southern border situation, which returns us to Biden impeachment.",0,1
eng_97280c2c04401997f9b6bab6cb1cf68f,And thats not ethnic cleansing how ?,0,1
eng_98d84bd4b196bb2aa71560fd6a3af742,"Winners and losers of this RussiaUkraine war The biggest winner, US. Huge profit from arms sales and energy sales. 14",0,1
eng_9aabafa77f1a0bc3ebafa6b78bdcd728,Growing up and living in an environment around people who strongly believe that everyone should just speak English and where why are you speaking foreign and being someone actively working to promote multiculturalism and multilingualism is a HARD constant battle.,0,1
eng_a019d98aed7162ab23e1568b8677f983,"Letter is fake news, crosses a linePark Record",0,1
eng_a205a4c36f33783da2809bd5fc0cc524,Well informed populace or election fraud,0,1
eng_a36f038b08cc654c7c582a7c308aee1f,His View: The Choices Are Clear in Upcoming Election,0,1
eng_a8829af7a84874ea81e93e2e97b2c234,"soo from 1517 until the beginning of Zionism, approximately 150 years would pass without incident and then, after the advent of Zionism, constant strife thanks for this helpful graphic demonstrating zionism as the source of violence in Palestine",0,1
eng_a8e0395e0194bd34fad46d31b691f7d5,"WhatsApp, but for xenophobia. TCDisrupt",0,1
