id,text,extreme_language_pred,extreme_language_gold
eng_01743ae7a61f2d630ee79da8cd2d2a0f,"Palestinian Muslims, Palestinian Christians, No Palestinian should be killed, tortured or be but in prisons. By the apartheid state of Israel.",1,1
eng_02fdc210c75b2ec254444748b32406bb,November 3rd was a stolen election,1,1
eng_04554b2619fc421fca3a311f39c8a642,Radical left activist Obama judge no more Democrats on the court to extreme,1,1
eng_0563bec36b7e55eec87074991543adb1,"Iran and Hezbollah are targeting military targets in line with the rules of engagement, ironically enough its Israel using human shields to protect their military targets.",1,1
eng_06885388dc820081cb54d0633b2d7bc8,Christian nationalism is intrinsically fascistic,1,1
eng_077cf5b26aea6ff551bd0959be4dbeba,"Hamas started it, Hamas could stop it in a sec, its all Hamas fault. Simple enough.",1,1
eng_07aec08c252f14b4bc87db4ae8f9a1ff,"Probably He sucks Putins dick constantly and we all know where musk stands on Ukrainian sovereignty and independence after he said they should give up all their land for ""peace""",1,1
eng_089a92875dae775b3a150bdf28bacec7,Zionism ZionismIsTerrorism IsraelTerrorism IsraelKillsBabies IsraelIsCommitingGenocide FreeGaza FreePalestine ZionismIsRacist ZionistsAreBigots,1,1
eng_08f8b6321f73eae8c2958d66461b26c8,Was given an open court layup to end Trumpism with the second impeachment and missed the rim by 10 feet. Bon Voyage Coward.,1,1
eng_0917a33dc6701ea02574f13783d7ad33,"If your ""patriotism"" only extends to those who agree with you, its not patriotism its nationalism.",1,1
eng_091e4b2c0947bd7961d807ac94a0e099,Peace means ending the ethnic cleansing of Palestine and implement UN242.,1,1
eng_0a91145ee26fc4466fe79078229e6196,The woke mob has finally come for having a little smoke while you gamble.,1,1
eng_10308dc6a57982d5ced835ac8414feda,Pro Palestine protested Kamala because she was the vice president in an administration that enabled Israeli ethnic cleansing and genocide! Trump was not the president,1,1
eng_11b6e8ca3db05a53b0645f7556bd2575,Cox came early! He really couldnt wait to be the epitome of complete racist xenophobia trash.,1,1
eng_11fa261f3bff86a489efd05c260a8a55,Mike Pence needs to be Chaneyd!,1,1
eng_122a5213a0891c1ea6bc5724cdbd2634,So where are all the second amendment people now that we have a tyrannical government? Seems about time for that well regulated militia part.,1,1
