id,text,vilification_pred,vilification_gold
eng_01743ae7a61f2d630ee79da8cd2d2a0f,"Palestinian Muslims, Palestinian Christians, No Palestinian should be killed, tortured or be but in prisons. By the apartheid state of Israel.",1,1
eng_04554b2619fc421fca3a311f39c8a642,Radical left activist Obama judge no more Democrats on the court to extreme,1,1
eng_0563bec36b7e55eec87074991543adb1,"Iran and Hezbollah are targeting military targets in line with the rules of engagement, ironically enough its Israel using human shields to protect their military targets.",1,1
eng_06110f248b7d943fdfe237bfb137d17c,They only look like theyre further left because of how extreme right your party has shifted,1,1
eng_06885388dc820081cb54d0633b2d7bc8,Christian nationalism is intrinsically fascistic,1,1
eng_07aec08c252f14b4bc87db4ae8f9a1ff,"Probably He sucks Putins dick constantly and we all know where musk stands on Ukrainian sovereignty and independence after he said they should give up all their land for ""peace""",1,1
eng_089a92875dae775b3a150bdf28bacec7,Zionism ZionismIsTerrorism IsraelTerrorism IsraelKillsBabies IsraelIsCommitingGenocide FreeGaza FreePalestine ZionismIsRacist ZionistsAreBigots,1,1
eng_08e9e616eee7048773cb54e3d8ffbdd7,I love Democracy Docket! Marc Elias and his attys helped thwart 60 lawsuits in 2021 to commit election fraud. They and other legal orgs are pushing back hard on Chump and unelected coPresident Musk. Contribute a bit monthly if you can!,1,1
eng_08f8b6321f73eae8c2958d66461b26c8,Was given an open court layup to end Trumpism with the second impeachment and missed the rim by 10 feet. Bon Voyage Coward.,1,1
eng_0917a33dc6701ea02574f13783d7ad33,"If your ""patriotism"" only extends to those who agree with you, its not patriotism its nationalism.",1,1
eng_0a91145ee26fc4466fe79078229e6196,The woke mob has finally come for having a little smoke while you gamble.,1,1
eng_10308dc6a57982d5ced835ac8414feda,Pro Palestine protested Kamala because she was the vice president in an administration that enabled Israeli ethnic cleansing and genocide! Trump was not the president,1,1
eng_104947d9303e83c560dd0fa61f597c33,Joe Biden is living rent free in Drumpfs head.,1,1
eng_11b6e8ca3db05a53b0645f7556bd2575,Cox came early! He really couldnt wait to be the epitome of complete racist xenophobia trash.,1,1
eng_11d000eeea8678e129558a6583ca9926,Despite POTUS45 war crimes during CivilRights2020,1,1
eng_11fa261f3bff86a489efd05c260a8a55,Mike Pence needs to be Chaneyd!,1,1
eng_12527a792b53a97a2986c909801780cd,Sound familiar? trump fascism nazis Germany immigration,1,1
eng_14040cc20044ac556adafb2f94bbf7d6,Stephen Miller daydreaming about mass deportation.,1,1
eng_163ce99477bb7c3360bed270b8a993d9,"Jimmy Carter, I believe, is probably the only President of the United States who never knowingly or intentionally lied to the American people. America loves liars. We love to be lied to. Our entire national identity is built on a foundation of outright lies maliciously whitewashed history.",1,1
eng_16d947e688dc4373b262c9312a4e2a51,"Its not ""the antigenocide wing"". There isnt a genocide except via twisting that term. Use of it reflects preexisting ideological commitment hatred of Jewish selfdetermination. Amnesty said in 2022 Israel shouldnt be a Jewish state. This is just a rhetorical escalation of propaganda",1,1
eng_17d3b1b6f4e1d0aad2be546991f59629,The corporate press is the enemy of the people,1,1
eng_183614f751ac481833ca7d19a35f7581,Another detachment from reality by the anti immigration fucks. Everyone TOLD YOU what would happen if Britain left. Reap,1,1
eng_18588a9f2a9775ac5ddc11ae2d886fc5,"Zionism does not speak for all jews. ZionismIsrael is the cancer, not Judaism as a whole.",1,1
eng_195f1eb1c477c7c42a091e3c6eb4d806,Mail in ballots is equal to cheating opportunity,1,1
eng_1a22bf6feacaa504ba151f6466c80a3c,Happy insurrection day! The day where a bunch of idiots followed their cult leader Into attempting a coup. jan6 trump embarrasing election,1,1
eng_1da4aec22865e58088ead79843f559cf,They think that the Right is going to smite their human shields and forget about them in the process,1,1
eng_1ec3ca022e0c0f55694d2bd7b2038e5f,Mike pence is a Benedict Arnold,1,1
eng_1ecd4b80bf3f1fffd8226b4818451385,Metastasis Conway compares Trumpism to cancer and fears were headed to Stage 4 @URL,1,1
eng_1f0c6e128f4771c44fa9292ae3c094d7,"After stealing credit for the hostage release that Carter brokered, Reagans FIRST EO, was to remove the solar panels and doom the US to fossil fuel dependency and all the war death and violence because of it. Republicans are vile sociopaths. PERIOD. Capitalism is destroying US.",1,1
eng_1fbc9794ed2812edc299ecdb71ad975e,The medical field has been coopted by the radical gender ideology,1,1
eng_1fbeb8eeabb18aac9f5e017fcaa935a0,They should move on from Kathleen Kennedy and the woke mob.,1,1
eng_215567b15a128e428d09b77a4e7e1070,Zionism Apartheid and illegal settlements and genocide. AntiZionism Humanity and truth. FUCK ZIONISM. ITS RUINING AMERICA.,1,1
eng_23e91be74e7bfe0f29e05eed4d70780e,We can arrange your deportation to India,1,1
eng_23e9f7aa08bc3fac81fc320280116d98,"teh shared values in this case are, colonization, ethnic cleansing, massacres, and cultural genocides.",1,1
eng_24265395eb22119e655e553ebac28802,"Stop with the xenophobia, a hole",1,1
eng_24389811e3a33054d32de6e887e3fb36,The dystopian future novel based on Conservative Values these days is just writing itself. Maybe Nick Cage can,1,1
eng_245573d57e3e5ffffd2349229a6db47c,A lot of lying by the radical left.,1,1
eng_25d7526f9e24bf003dcd11bf06dc521c,There are some clowns around who will tell you that hospitals are a legitimate target and civilian casualties patients medics are collateral damage.,1,1
eng_26cbaa58699e7864ecb9768e9483c649,"Come on, Jen. There is NOTHING that these clowns think is disqualifying, including insurrection.",1,1
eng_272d286b54bdfa993a95439a1e162761,Oswald Galloway lining up with the extreme right again.,1,1
eng_2892d69934443a0823e9d19eb7661987,"I truly hate these people, anyone supporting this government is now supporting the Russian aggression by default",1,1
eng_289c1c1c61a994560ca71a0ed18692c9,MAGA was definitely duped. The only deep state is Trumpmusk and allegiance to Putin,1,1
eng_28d321f0cf8a5596b2a96266932b55e7,NO PUTIN NO RUSSIA ASSASSIN PUTIN ASS HOLE PUTIN,1,1
eng_2904cec56df346e92acfeddb1de6a146,WOW!!! CNN gets rid of Jim Costa to suck on rumps ass! Yes! Time to unfollow CNN EVERYWHERE!!!,1,1
eng_2aec71e47c52306bfddaf3f450f13b63,So CNN is now an extreme right wing misinformation organization CNNIsTheNewFox under ChrisLicht GOPSeditiousTraitors,1,1
eng_2b4f93a36ba95cab5d471fa75de0b6d3,"Support the asexuals? Whats next, supporting xenophobia?!",1,1
eng_2d17d8404b764ba0c0b27432892a7653,stonewall sjw capitalism in a pile of trash,1,1
eng_2ff616aa2df9018435397492ec2ebff5,Kolakowskis believed his ConservativeLiberalSocialist International could never exist. Perhaps the formation of the BigotIdiotThief Axis will create it.,1,1
eng_30aede71e70a1df6d6668b9c86bcb2ec,Hamas is responsible for his crime,1,1
