id,text,polarization_pred,polarization_gold
eng_03a6df98f298c70e0e2c466ff5850e5c,"Ending 2024 with an illadvised text conversation with my brother that ended with ""Really little bro? I can deal with the atheism, but socialism?""",0,1
eng_04bea6a50978cb48467ca34387d008b1,"Kudos to Tribe, who says"" Like David Schulman, I cant help asking myself For this we created a Jewish state?""",0,1
eng_063df5b2376051b709d50457c02c0344,To the point of deportation yes anti in all circumstances. All of them. No what ifs. Im anti deportation.,0,1
eng_087fb490a4f685c22c048c38ceb72526,So youre calling for an insurrection?,0,1
eng_08ae95d4ae6a749b634c26c9fa35410c,From a descendant of asylum seekers. Go figure,0,1
eng_08c87a824cc5e874ec579e9d1906e7da,All red states are tbh,0,1
eng_08e9e616eee7048773cb54e3d8ffbdd7,I love Democracy Docket! Marc Elias and his attys helped thwart 60 lawsuits in 2021 to commit election fraud. They and other legal orgs are pushing back hard on Chump and unelected coPresident Musk. Contribute a bit monthly if you can!,0,1
eng_091e4b2c0947bd7961d807ac94a0e099,Peace means ending the ethnic cleansing of Palestine and implement UN242.,0,1
eng_09762e07b2cdc3978cf4a4898d90be7c,My Reb conspiracy theory is that they are being Ratatouilled by a possum,0,1
eng_0d780c82ff3b929d1cfe1fedff9a5e0f,"There are no human shields, Karen",0,1
eng_0d88db5f14b4997f80f3631539879ba6,Ukraine keep commiting war crimes ?,0,1
eng_110481aac87e0a1448a2b530ae2c2c55,"Soo why dont we have a ""Project 2025"" on the left that we all agree is the playbook? Seems like what the left policies non corporate populism are quite agreeable to most. Call it ""Progress 2026"" or something.",0,1
eng_11d000eeea8678e129558a6583ca9926,Despite POTUS45 war crimes during CivilRights2020,0,1
eng_13d28fc88b7b0e45c306b17497ad813b,"If you were more concerned about crime, you should increase the number of immigrants and asylum seekers. So it isnt about crime.",0,1
eng_1411e6b68bb1cd5b0746bfb2511312e0,Did the Dems warn about Russian aggression and did Trump mock them for it?,0,1
eng_155440c4fc539a4add0c5dbcafba918f,theyve lost control of illegal immigration PoliticsLive,0,1
eng_173caad67954a2cf69fdec9f6166d757,Next conspiracy theory at 50 followers,0,1
eng_1777cb35e8a32c224def12fdc2623efc,Do you think Marsha should find a new country? BlueWave Yes No,0,1
eng_1cd07453fd40b79a36c28259b16134f3,graha whose home was destroyed by imperialism,0,1
eng_1ecd4b80bf3f1fffd8226b4818451385,Metastasis Conway compares Trumpism to cancer and fears were headed to Stage 4 @URL,0,1
eng_20bc694c168b9c14c5daa7176676584f,"Just Eat, but for xenophobia. TCDisrupt",0,1
eng_225845dd7d1f4e4e4bf13d45eb083871,"There is no such place as Palestine, and Israel is not an apartheid state. Educate yourself.",0,1
eng_239cc28dbb1669ba68b3ca437dd0855d,Does that include a cushion for election fraud?,0,1
eng_23e91be74e7bfe0f29e05eed4d70780e,We can arrange your deportation to India,0,1
eng_240b1f94d1abaad7315aec5b95533551,You know where theyre NOT banning books? BLUE STATES. HolocaustRemembranceDay,0,1
eng_260056a03d1d28b8a33ba36b3436497f,I see this as election interference,0,1
eng_28cd0923ef8c0eeac63562f8bc9b765b,"Timely reminder, trump with held military aid to Ukraine in the hope of getting info on Hunter Biden",0,1
eng_298472d2714b389f8f4286a8da443f71,Did any democrats who lost claim election fraud???,0,1
eng_2a6ef85321d1cc6b3e24dd75d1d2186b,"Sorry, but nope. She cried when we voted to support the Iron Dome. A defense system. Im over her.",0,1
eng_2b750c133fd9f61f4b5e401d9da21501,"it literally does mean they are solely responsible. they are doing collective punishment, which is a war crime",0,1
eng_32571bb05bc27125646a9b05390dcd26,Watch New York police removed a banner dropped by proPalestine activists in Rossevelt Field mall in protest of the Israeli genocide in Gaza.,0,1
eng_32e0580470eb5ce60fccbf2c43163884,I watched Hungarys democracy dissolve into authoritarianism as a member of parliament and I see troubling parallels in Trumpism and its appeal to workers theconversation.comiwatchedhu...,0,1
eng_363ffd1826d2d75207378d24d2de2a0e,"Can AI tell us if the presidential votes in the swing states were changed? Also, the six guys working for Musk on changing the federal systems are probably the same people who hacked the vote count. Can we question them?",0,1
eng_3949fb4d58f414d1ce0eb7079b7bae69,"Also on Geneva convention violations, theyre neck and neck, but squid game is fictional, so bg wins on collective punishment",0,1
eng_3a1c117d06886eaaabfbb612fe085a5d,"In fact you talk BS, its not about recounting fake votes lmao",0,1
eng_3b82245d3aef7fa2003ed4b985eb2b7a,Its what known as voter fraud.,0,1
eng_3c03847faa1baae82a3497c22cc41bb6,Elon has free reign bc of the election itself. No one wins all the swing states at the presidential level but loses all the local race on the same ticket in the same way in every state. Not possible in todays political climate. Just let that sink for a while mathematics is a pure science numbers,0,1
eng_3cfbef02280788874198cca632b3372e,"Its funny how for years everyone believed Putins Russia was an unstoppable juggernaut that could occupy Europe and invade America if it chose to. This myth is much diminished postUkraine invasion and fall of Assads Syria, but not completely dead unfortunately.",0,1
eng_3d656406476fde786a2c9f87921db4b4,Of course any sanctions against Russia must also be sanctions against Belarus,0,1
eng_41511492da36dad90b2f765f1dfde708,The War of Russian Aggression,0,1
eng_451ae1d9e6e888f5ae27cb7b04de413c,"Pence hit em with the Fox news story too haha..Since Fix isnt ""fake news"" lol",0,1
eng_466675d2cdf20badfc30e55c75177d57,"Human shields, urban combat, those journalists and doctors were Hamas, etc",0,1
eng_49a87c216820ce2cd479b3f27dfa2c65,C. Its the only way they will learn. I hope its catastrophic so we can usher in some actual progressive policies.,0,1
eng_4a6eea8e3238dc6cb0f3f48f3428e0fe,STOP RUSSIAN AGGRESSION AGAINST UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL!,0,1
eng_4b91affc7e1a5b3dc10e50fce7016cfb,Surely yet another terrible consequence of illegal immigration.,0,1
eng_4db4fb1c858b4af17806746279384100,The EXTREME RIGHT OF ARGENTINA ArgentinaSupportsDjokovic.,0,1
