id,text,racial/ethnic_pred,racial/ethnic_gold
eng_063df5b2376051b709d50457c02c0344,To the point of deportation yes anti in all circumstances. All of them. No what ifs. Im anti deportation.,0,1
eng_08ae95d4ae6a749b634c26c9fa35410c,From a descendant of asylum seekers. Go figure,0,1
eng_091e4b2c0947bd7961d807ac94a0e099,Peace means ending the ethnic cleansing of Palestine and implement UN242.,0,1
eng_13d28fc88b7b0e45c306b17497ad813b,"If you were more concerned about crime, you should increase the number of immigrants and asylum seekers. So it isnt about crime.",0,1
eng_14040cc20044ac556adafb2f94bbf7d6,Stephen Miller daydreaming about mass deportation.,0,1
eng_163ce99477bb7c3360bed270b8a993d9,"Jimmy Carter, I believe, is probably the only President of the United States who never knowingly or intentionally lied to the American people. America loves liars. We love to be lied to. Our entire national identity is built on a foundation of outright lies maliciously whitewashed history.",0,1
eng_195f1eb1c477c7c42a091e3c6eb4d806,Mail in ballots is equal to cheating opportunity,0,1
eng_1f0c6e128f4771c44fa9292ae3c094d7,"After stealing credit for the hostage release that Carter brokered, Reagans FIRST EO, was to remove the solar panels and doom the US to fossil fuel dependency and all the war death and violence because of it. Republicans are vile sociopaths. PERIOD. Capitalism is destroying US.",0,1
eng_20bc694c168b9c14c5daa7176676584f,"Just Eat, but for xenophobia. TCDisrupt",0,1
eng_23e91be74e7bfe0f29e05eed4d70780e,We can arrange your deportation to India,0,1
eng_24e9fe67e892467671e40459e02a6700,Not voting to fund a purely defensive system like Iron Dome is radical left and not a centerist Democrat position. Not voting for Bidens infrastructure bill is radical left and not a centerist Democrat position.l,0,1
eng_2ff616aa2df9018435397492ec2ebff5,Kolakowskis believed his ConservativeLiberalSocialist International could never exist. Perhaps the formation of the BigotIdiotThief Axis will create it.,0,1
eng_30aede71e70a1df6d6668b9c86bcb2ec,Hamas is responsible for his crime,0,1
eng_33f659122469ca92b31b4c01fd70fcd1,How did the Christian faith go from being pretty socialist I think to bring fascist.,0,1
eng_38fbd6a81fe0bbdcb568a401e642e364,Gender ideology is a pedophile movement,0,1
eng_3a45fe1a4c886c3865766488edd24941,Expect a Russian statement that the civilians killed in the Ukrainian humanitarian convoy were human shields,0,1
eng_518faab650ec584f55fe53d35b00cfd7,"Theyll probably wipe out the fascist battalions before anyway, and the rest of ""denazification"" was always rather fuzzy.",0,1
eng_571d292b888200f712e44b4fe1c2b7dd,You have no arguement. Judaism is not Zionism. Do some reading.,0,1
eng_5957a4fd9fffd0f37995f910a41f1c75,Not yett. Zionism will lose Israel crumbling,0,1
eng_5c25198be353dcf2810131277f921f99,genocide against the Tutsi Not rwanda genocide,0,1
eng_5c640ab9d096a10f04b060dac944f636,"""Denazification"" Putin said. Give Ukraine whatever they need to end this so it doesnt embolden other tyrants.",0,1
eng_6156c2781e9f630e37f60e86444d76ad,When do they order all Palestinians to leave Gaza and the West Bank?,0,1
eng_6376dd240e9bbf46fecea7cc02935a44,ON THE DEPORTATION BOAT WITH THEM!,0,1
eng_6ccd7707b202e76e545eb3fec09a072b,"Tried to bake in that ""woke mob"" defense.",0,1
eng_6d2f1e0056038d05d9a35b65f0588a33,Kamala Harris has the easiest job ever,0,1
eng_746675311dad2c85bf91e921df3819c1,Its still Free Palestine btw,0,1
eng_7c6380f4c695673607a82fc85a9cc6d2,Its America. Every downscale white guy thinks tomorrow they will be the next Elon Musk. Populism is entertaining that mass delusion by hurting the people blamed for its failure.,0,1
eng_80c317d70f56a26166a48672ed06b216,The Nadesalingam family are not asylum seekers. Change my mind.,0,1
eng_8193da8f814c3173b58f21e0c22b12bd,Hi apartheid state the one and only remaining 1.,0,1
eng_8d063f4c60a811ab4501aa84988f9ee6,Yes that is the fear. Thats why a one state solution is rejected by Israelis. That and the identity of Israel as a Jewish state.,0,1
eng_8d26105337145bce281d1c5c10f53e78,Which xenophobia are you marching Against?,0,1
eng_9aabafa77f1a0bc3ebafa6b78bdcd728,Growing up and living in an environment around people who strongly believe that everyone should just speak English and where why are you speaking foreign and being someone actively working to promote multiculturalism and multilingualism is a HARD constant battle.,0,1
eng_a15d16ff776d573a6c4094528b920bd3,Why are they in a camp? The West Bank does not belong to Israel.,0,1
eng_a3ba912b133d239882514eee11732c63,Open borders housing crisis go figure.,0,1
eng_a8829af7a84874ea81e93e2e97b2c234,"soo from 1517 until the beginning of Zionism, approximately 150 years would pass without incident and then, after the advent of Zionism, constant strife thanks for this helpful graphic demonstrating zionism as the source of violence in Palestine",0,1
eng_a8e0395e0194bd34fad46d31b691f7d5,"WhatsApp, but for xenophobia. TCDisrupt",0,1
eng_af151935f597e2287c8a7a3a7580dbfb,you are very illinformed about this coup attempt.,0,1
eng_bfcc7bcd4ef1a3db98bc131af9c08ae9,Oscar said xenophobia has no place in EC and wena youre saying we shouldnt listen to him. Isnt that being pro xenophobia??,0,1
eng_ca46e723fc8501bc4f16ee3c55204809,Israel is either killing or capturing many of the doctors in Gaza and the West Bank.,0,1
eng_cbb0196ce9ecc57f713d006e3aa4702a,Scandinavia but less xenophobia would be such a good society,0,1
eng_cf840005e1cd7563d09ee4c2578dcb33,A radical left wing negrowho will only side with the demoncrats!,0,1
eng_cfaea85c83d621df00d5eab475fd80d9,I guess their antiimmigration policy does not include Indians,0,1
eng_d069f5e720f60cccc67f43b48465099c,Who shouldnt have voted? Asylum seekers? Refugees? Undocumented immigrants?,0,1
eng_d6dbe801006609a22d11f9b665fdf490,"Noones holding elections because theyve been under military occupation since the last one, but you dont want to pay attention to that because it distracts you from jerking off to dead brown babies",0,1
eng_d8e443ccac4a644cfbcbfbe9b2469565,To MAFAL Make America Fascist At Last.,0,1
eng_dbbd397556ca2f48f0672c571ab408a3,"The left overusing ""fascism"" is the identical twin of the right overusing ""socialism"".",0,1
eng_dc15d9d56d6b3d9c97d1f8390ebeebed,"You left out armed guards, human shields and forced religion",0,1
eng_dcd16add0fc7e69f2a408404a49da2b7,Conclusion AfD and Zionism are deadly.,0,1
eng_e1b7a4f1665f702285d7145a88cd0349,Haartez presenting the truth about IsraeliWarCrimes highlights the obscene proIsrael slant of our mainstream media.,0,1
eng_e2b25f425165eb346f76b12e1e9ab669,Blinken is the Butcher of Gaza. Blinken ButcherOfGaza Gaza Genocide,0,1
eng_eed78f36f5a66c7d9b23bd0dd28a7bc7,5 Black Officers Awarded $16M After White Colleague's Racial Comments,0,1
eng_f4b50149d90945e30d0da880278f2a60,Back and rejuvenated and ready to help create the Bluewave! We must not let the Rethuglicans to chest their way into office!!,0,1
eng_f7ad21974429038bcedea6232fc5f9fe,They had a problem with asylum seekers who are definitionally legal immigrants,0,1
